filter, sd, nu, gamma, n_components, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.1,10,1.1233410835266113,1837,86,38,38,0.07919799498746867
BENIGN,0,0.5,0.1,10,1.158416748046875,1837,86,41,38,0.07919799498746867
BENIGN,0,0.7,0.1,10,1.2864985466003418,1838,86,37,38,0.0786967418546366
BENIGN,0,0.1,0.5,10,1.095414400100708,1837,86,42,38,0.07919799498746867
BENIGN,0,0.5,0.5,10,1.1249651908874512,1839,86,35,38,0.07819548872180451
BENIGN,0,0.7,0.5,10,1.146315574645996,1839,86,35,38,0.07819548872180451
BENIGN,0,0.1,0.9,10,1.076845407485962,1839,86,46,38,0.07819548872180451
BENIGN,0,0.5,0.9,10,1.135650634765625,1839,86,35,38,0.07819548872180451
BENIGN,0,0.7,0.9,10,1.1191697120666504,1839,86,35,38,0.07819548872180451
BENIGN,0,0.1,0.1,50,3.8346941471099854,1837,86,38,38,0.07919799498746867
BENIGN,0,0.5,0.1,50,4.021000862121582,1837,86,41,38,0.07919799498746867
BENIGN,0,0.7,0.1,50,4.187025308609009,1838,86,37,38,0.0786967418546366
BENIGN,0,0.1,0.5,50,3.7708327770233154,1837,86,47,38,0.07919799498746867
BENIGN,0,0.5,0.5,50,3.892622947692871,1839,86,36,38,0.07819548872180451
BENIGN,0,0.7,0.5,50,4.153274059295654,1839,86,35,38,0.07819548872180451
BENIGN,0,0.1,0.9,50,3.837862491607666,1839,86,47,38,0.07819548872180451
BENIGN,0,0.5,0.9,50,3.9097297191619873,1839,86,35,38,0.07819548872180451
BENIGN,0,0.7,0.9,50,3.8913509845733643,1839,86,35,38,0.07819548872180451
BENIGN,0,0.1,0.1,100,4.840364694595337,1837,86,38,38,0.07919799498746867
BENIGN,0,0.5,0.1,100,5.217886686325073,1837,86,41,38,0.07919799498746867
BENIGN,0,0.7,0.1,100,5.63077974319458,1838,86,37,38,0.0786967418546366
BENIGN,0,0.1,0.5,100,4.690528631210327,1837,86,47,38,0.07919799498746867
BENIGN,0,0.5,0.5,100,4.816777467727661,1839,86,36,38,0.07819548872180451
BENIGN,0,0.7,0.5,100,5.776090860366821,1839,86,35,38,0.07819548872180451
BENIGN,0,0.1,0.9,100,5.2544238567352295,1839,86,47,38,0.07819548872180451
BENIGN,0,0.5,0.9,100,5.066391706466675,1839,86,36,38,0.07819548872180451
BENIGN,0,0.7,0.9,100,5.2590789794921875,1839,86,35,38,0.07819548872180451
BENIGN,0,0.1,0.1,150,6.879241943359375,1837,86,38,38,0.07919799498746867
BENIGN,0,0.5,0.1,150,7.395717620849609,1837,86,41,38,0.07919799498746867
BENIGN,0,0.7,0.1,150,7.8485260009765625,1838,86,37,38,0.0786967418546366
BENIGN,0,0.1,0.5,150,7.305079460144043,1837,86,47,38,0.07919799498746867
BENIGN,0,0.5,0.5,150,7.413939952850342,1839,86,36,38,0.07819548872180451
BENIGN,0,0.7,0.5,150,7.328535079956055,1839,86,35,38,0.07819548872180451
