filter, sd, nu, gamma, n_components, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.1,10,1.0197019577026367,13349,479,253,317,0.06891260375252842
BENIGN,0,0.5,0.1,10,1.1203889846801758,13349,479,255,317,0.06891260375252842
BENIGN,0,0.7,0.1,10,1.1768851280212402,13347,479,251,317,0.06905210295040803
BENIGN,0,0.1,0.5,10,0.9849898815155029,13343,479,270,317,0.06933110134616725
BENIGN,0,0.5,0.5,10,1.058795690536499,13349,479,248,317,0.06891260375252842
BENIGN,0,0.7,0.5,10,1.0953564643859863,13346,479,251,317,0.06912185254934784
BENIGN,0,0.1,0.9,10,0.9901041984558105,13349,479,260,317,0.06891260375252842
BENIGN,0,0.5,0.9,10,1.0559334754943848,13347,479,246,317,0.06905210295040803
BENIGN,0,0.7,0.9,10,1.0656859874725342,13347,479,246,317,0.06905210295040803
BENIGN,0,0.1,0.1,50,3.9190053939819336,13349,479,253,317,0.06891260375252842
BENIGN,0,0.5,0.1,50,3.96397066116333,13349,479,255,317,0.06891260375252842
BENIGN,0,0.7,0.1,50,4.183427572250366,13347,479,253,317,0.06905210295040803
BENIGN,0,0.1,0.5,50,3.7322499752044678,13342,479,276,317,0.06940085094510706
BENIGN,0,0.5,0.5,50,3.830153226852417,13349,479,249,317,0.06891260375252842
BENIGN,0,0.7,0.5,50,4.014193058013916,13346,479,251,317,0.06912185254934784
BENIGN,0,0.1,0.9,50,3.708548069000244,13347,479,271,317,0.06905210295040803
BENIGN,0,0.5,0.9,50,3.772853374481201,13347,479,250,317,0.06905210295040803
BENIGN,0,0.7,0.9,50,3.9143381118774414,13347,479,247,317,0.06905210295040803
BENIGN,0,0.1,0.1,100,4.6680214405059814,13349,479,253,317,0.06891260375252842
BENIGN,0,0.5,0.1,100,4.80328369140625,13349,479,255,317,0.06891260375252842
BENIGN,0,0.7,0.1,100,5.14513897895813,13347,479,253,317,0.06905210295040803
BENIGN,0,0.1,0.5,100,4.74943733215332,13342,479,276,317,0.06940085094510706
BENIGN,0,0.5,0.5,100,4.79117488861084,13349,479,249,317,0.06891260375252842
BENIGN,0,0.7,0.5,100,4.874659299850464,13346,479,251,317,0.06912185254934784
BENIGN,0,0.1,0.9,100,4.581281423568726,13347,479,273,317,0.06905210295040803
BENIGN,0,0.5,0.9,100,4.64472222328186,13347,479,250,317,0.06905210295040803
BENIGN,0,0.7,0.9,100,4.884716749191284,13347,479,250,317,0.06905210295040803
BENIGN,0,0.1,0.1,150,6.579645395278931,13349,479,253,317,0.06891260375252842
BENIGN,0,0.5,0.1,150,7.01170015335083,13349,479,255,317,0.06891260375252842
BENIGN,0,0.7,0.1,150,7.291935682296753,13347,479,253,317,0.06905210295040803
BENIGN,0,0.1,0.5,150,6.67406702041626,13342,479,276,317,0.06940085094510706
BENIGN,0,0.5,0.5,150,6.925364017486572,13349,479,249,317,0.06891260375252842
BENIGN,0,0.7,0.5,150,7.066458463668823,13346,479,251,317,0.06912185254934784
BENIGN,0,0.1,0.9,150,6.527114152908325,13347,479,273,317,0.06905210295040803
BENIGN,0,0.5,0.9,150,7.031708478927612,13347,479,250,317,0.06905210295040803
BENIGN,0,0.7,0.9,150,7.148423433303833,13347,479,250,317,0.06905210295040803
BENIGN,0,0.1,0.1,200,7.645355463027954,13349,479,253,317,0.06891260375252842
BENIGN,0,0.5,0.1,200,8.340334415435791,13349,479,255,317,0.06891260375252842
BENIGN,0,0.7,0.1,200,8.406674861907959,13347,479,253,317,0.06905210295040803
BENIGN,0,0.1,0.5,200,7.659596681594849,13342,479,276,317,0.06940085094510706
BENIGN,0,0.5,0.5,200,7.962546348571777,13349,479,249,317,0.06891260375252842
BENIGN,0,0.7,0.5,200,8.310264110565186,13346,479,251,317,0.06912185254934784
BENIGN,0,0.1,0.9,200,7.500924587249756,13347,479,273,317,0.06905210295040803
BENIGN,0,0.5,0.9,200,7.995076894760132,13347,479,250,317,0.06905210295040803
BENIGN,0,0.7,0.9,200,8.146016597747803,13347,479,250,317,0.06905210295040803
BENIGN,42,0.1,0.1,10,0.976597785949707,13618,20,322,383,0.050149961637720585
BENIGN,42,0.5,0.1,10,1.0333151817321777,13687,20,255,383,0.04533723931087396
BENIGN,42,0.7,0.1,10,1.1684916019439697,13687,20,255,383,0.04533723931087396
BENIGN,42,0.1,0.5,10,1.0045902729034424,13640,20,300,383,0.04861547046104485
BENIGN,42,0.5,0.5,10,1.0440974235534668,13686,20,256,383,0.04540698890981377
BENIGN,42,0.7,0.5,10,1.0492167472839355,13681,20,261,383,0.045755736904512796
BENIGN,42,0.1,0.9,10,0.9878029823303223,13658,20,282,383,0.04735997768012834
BENIGN,42,0.5,0.9,10,1.0557615756988525,13682,20,260,383,0.045685987305572995
BENIGN,42,0.7,0.9,10,1.0558335781097412,13681,20,261,383,0.045755736904512796
BENIGN,42,0.1,0.1,50,3.245924472808838,13620,20,320,383,0.05001046243984097
BENIGN,42,0.5,0.1,50,3.347827434539795,13687,20,255,383,0.04533723931087396
BENIGN,42,0.7,0.1,50,3.6337788105010986,13687,20,255,383,0.04533723931087396
BENIGN,42,0.1,0.5,50,3.3409905433654785,13640,20,300,383,0.04861547046104485
BENIGN,42,0.5,0.5,50,3.548616647720337,13686,20,256,383,0.04540698890981377
BENIGN,42,0.7,0.5,50,3.324734687805176,13681,20,261,383,0.045755736904512796
BENIGN,42,0.1,0.9,50,3.332885265350342,13659,20,281,383,0.04729022808118853
BENIGN,42,0.5,0.9,50,3.3922624588012695,13682,20,260,383,0.045685987305572995
BENIGN,42,0.7,0.9,50,3.5167338848114014,13681,20,261,383,0.045755736904512796
BENIGN,42,0.1,0.1,100,4.351215124130249,13620,20,320,383,0.05001046243984097
BENIGN,42,0.5,0.1,100,4.291236877441406,13687,20,255,383,0.04533723931087396
BENIGN,42,0.7,0.1,100,4.76015830039978,13687,20,255,383,0.04533723931087396
BENIGN,42,0.1,0.5,100,4.325798511505127,13640,20,300,383,0.04861547046104485
BENIGN,42,0.5,0.5,100,4.443989515304565,13686,20,256,383,0.04540698890981377
BENIGN,42,0.7,0.5,100,4.436314582824707,13681,20,261,383,0.045755736904512796
BENIGN,42,0.1,0.9,100,4.371147632598877,13659,20,281,383,0.04729022808118853
BENIGN,42,0.5,0.9,100,4.403379678726196,13682,20,260,383,0.045685987305572995
BENIGN,42,0.7,0.9,100,4.449964284896851,13681,20,261,383,0.045755736904512796
BENIGN,42,0.1,0.1,150,6.43369197845459,13620,20,320,383,0.05001046243984097
BENIGN,42,0.5,0.1,150,6.464902639389038,13687,20,255,383,0.04533723931087396
BENIGN,42,0.7,0.1,150,6.613786458969116,13687,20,255,383,0.04533723931087396
BENIGN,42,0.1,0.5,150,6.3891282081604,13641,20,299,383,0.04854572086210504
BENIGN,42,0.5,0.5,150,6.2332093715667725,13686,20,256,383,0.04540698890981377
BENIGN,42,0.7,0.5,150,6.455380439758301,13681,20,261,383,0.045755736904512796
BENIGN,42,0.1,0.9,150,6.047831296920776,13659,20,281,383,0.04729022808118853
BENIGN,42,0.5,0.9,150,6.415088415145874,13682,20,260,383,0.045685987305572995
BENIGN,42,0.7,0.9,150,6.446997404098511,13681,20,261,383,0.045755736904512796
BENIGN,42,0.1,0.1,200,7.246428728103638,13620,20,320,383,0.05001046243984097
BENIGN,42,0.5,0.1,200,7.8087990283966064,13687,20,255,383,0.04533723931087396
BENIGN,42,0.7,0.1,200,8.088042736053467,13687,20,255,383,0.04533723931087396
BENIGN,42,0.1,0.5,200,7.350003480911255,13641,20,299,383,0.04854572086210504
BENIGN,42,0.5,0.5,200,7.3651123046875,13686,20,256,383,0.04540698890981377
BENIGN,42,0.7,0.5,200,7.64275860786438,13681,20,261,383,0.045755736904512796
BENIGN,42,0.1,0.9,200,7.275945425033569,13659,20,281,383,0.04729022808118853
BENIGN,42,0.5,0.9,200,7.512563705444336,13682,20,260,383,0.045685987305572995
BENIGN,42,0.7,0.9,200,7.813388109207153,13681,20,261,383,0.045755736904512796
BENIGN,123,0.1,0.1,10,1.09257173538208,13086,517,387,429,0.08725674827369742
BENIGN,123,0.5,0.1,10,1.0765759944915771,13087,517,457,429,0.08718699867475763
BENIGN,123,0.7,0.1,10,1.1604812145233154,13065,517,385,429,0.08872148985143335
BENIGN,123,0.1,0.5,10,1.0086884498596191,13059,517,483,429,0.08913998744507219
BENIGN,123,0.5,0.5,10,1.068638801574707,12853,517,598,429,0.10350840482667224
BENIGN,123,0.7,0.5,10,1.0604069232940674,12906,517,544,429,0.09981167608286252
BENIGN,123,0.1,0.9,10,1.0091452598571777,13127,517,432,429,0.08439701471716538
BENIGN,123,0.5,0.9,10,1.0616965293884277,12692,517,759,429,0.11473809025598103
BENIGN,123,0.7,0.9,10,1.0752887725830078,12720,517,729,429,0.11278510148566646
BENIGN,123,0.1,0.1,50,3.7523646354675293,13086,517,387,429,0.08725674827369742
BENIGN,123,0.5,0.1,50,4.098122835159302,13087,517,457,429,0.08718699867475763
BENIGN,123,0.7,0.1,50,4.106394052505493,13065,517,385,429,0.08872148985143335
BENIGN,123,0.1,0.5,50,3.775517225265503,13059,517,487,429,0.08913998744507219
BENIGN,123,0.5,0.5,50,3.9622607231140137,12853,517,599,429,0.10350840482667224
BENIGN,123,0.7,0.5,50,4.127822637557983,12906,517,544,429,0.09981167608286252
BENIGN,123,0.1,0.9,50,4.09296989440918,13127,517,437,429,0.08439701471716538
BENIGN,123,0.5,0.9,50,4.158872842788696,12692,517,760,429,0.11473809025598103
BENIGN,123,0.7,0.9,50,4.141949653625488,12720,517,730,429,0.11278510148566646
BENIGN,123,0.1,0.1,100,4.81074595451355,13086,517,387,429,0.08725674827369742
BENIGN,123,0.5,0.1,100,5.069246768951416,13087,517,457,429,0.08718699867475763
BENIGN,123,0.7,0.1,100,5.178551197052002,13065,517,385,429,0.08872148985143335
BENIGN,123,0.1,0.5,100,4.946834325790405,13059,517,487,429,0.08913998744507219
BENIGN,123,0.5,0.5,100,4.994699001312256,12853,517,599,429,0.10350840482667224
BENIGN,123,0.7,0.5,100,5.010368824005127,12906,517,544,429,0.09981167608286252
BENIGN,123,0.1,0.9,100,4.732500076293945,13127,517,437,429,0.08439701471716538
BENIGN,123,0.5,0.9,100,5.038555383682251,12692,517,760,429,0.11473809025598103
BENIGN,123,0.7,0.9,100,5.155145168304443,12720,517,730,429,0.11278510148566646
BENIGN,123,0.1,0.1,150,6.792059898376465,13086,517,387,429,0.08725674827369742
BENIGN,123,0.5,0.1,150,6.964788436889648,13087,517,457,429,0.08718699867475763
BENIGN,123,0.7,0.1,150,7.267829656600952,13065,517,385,429,0.08872148985143335
BENIGN,123,0.1,0.5,150,6.942774772644043,13059,517,487,429,0.08913998744507219
BENIGN,123,0.5,0.5,150,7.186033487319946,12853,517,599,429,0.10350840482667224
BENIGN,123,0.7,0.5,150,7.209624290466309,12906,517,544,429,0.09981167608286252
BENIGN,123,0.1,0.9,150,6.936433792114258,13127,517,437,429,0.08439701471716538
BENIGN,123,0.5,0.9,150,7.336564064025879,12692,517,760,429,0.11473809025598103
BENIGN,123,0.7,0.9,150,7.186477899551392,12720,517,730,429,0.11278510148566646
BENIGN,123,0.1,0.1,200,7.989168882369995,13086,517,387,429,0.08725674827369742
BENIGN,123,0.5,0.1,200,8.24484372138977,13087,517,457,429,0.08718699867475763
BENIGN,123,0.7,0.1,200,8.663700103759766,13064,517,386,429,0.08879123945037316
BENIGN,123,0.1,0.5,200,7.9453654289245605,13059,517,487,429,0.08913998744507219
BENIGN,123,0.5,0.5,200,8.172373533248901,12853,517,599,429,0.10350840482667224
BENIGN,123,0.7,0.5,200,8.501978874206543,12906,517,544,429,0.09981167608286252
BENIGN,123,0.1,0.9,200,8.133784770965576,13127,517,437,429,0.08439701471716538
BENIGN,123,0.5,0.9,200,8.163421630859375,12692,517,760,429,0.11473809025598103
BENIGN,123,0.7,0.9,200,8.449015617370605,12720,517,730,429,0.11278510148566646
BENIGN,222,0.1,0.1,10,0.9856905937194824,13227,442,255,448,0.07742205482318476
BENIGN,222,0.5,0.1,10,1.0705845355987549,13179,442,304,448,0.08077003557229546
BENIGN,222,0.7,0.1,10,1.1591370105743408,13219,442,264,448,0.07798005161470321
BENIGN,222,0.1,0.5,10,1.0793883800506592,13227,442,257,448,0.07742205482318476
BENIGN,222,0.5,0.5,10,1.0705747604370117,13207,442,276,448,0.07881704680198089
BENIGN,222,0.7,0.5,10,1.0796802043914795,13224,442,259,448,0.07763130362000419
BENIGN,222,0.1,0.9,10,1.0301110744476318,13226,442,257,448,0.07749180442212457
BENIGN,222,0.5,0.9,10,1.0826513767242432,13216,442,267,448,0.07818930041152264
BENIGN,222,0.7,0.9,10,1.1158380508422852,13224,442,259,448,0.07763130362000419
BENIGN,222,0.1,0.1,50,3.8012356758117676,13227,442,255,448,0.07742205482318476
BENIGN,222,0.5,0.1,50,3.8562679290771484,13179,442,304,448,0.08077003557229546
BENIGN,222,0.7,0.1,50,4.3198206424713135,13219,442,264,448,0.07798005161470321
BENIGN,222,0.1,0.5,50,3.745396614074707,13227,442,257,448,0.07742205482318476
BENIGN,222,0.5,0.5,50,4.028238773345947,13206,442,277,448,0.0788867964009207
BENIGN,222,0.7,0.5,50,4.050536155700684,13224,442,259,448,0.07763130362000419
BENIGN,222,0.1,0.9,50,3.944310188293457,13226,442,257,448,0.07749180442212457
BENIGN,222,0.5,0.9,50,3.862061023712158,13215,442,268,448,0.07825905001046243
BENIGN,222,0.7,0.9,50,4.203345060348511,13224,442,259,448,0.07763130362000419
BENIGN,222,0.1,0.1,100,4.730535268783569,13227,442,255,448,0.07742205482318476
BENIGN,222,0.5,0.1,100,5.0638391971588135,13179,442,304,448,0.08077003557229546
