filter, sd, nu, gamma, n_components, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.1,10,1.0793612003326416,1585,63,32,34,0.07038123167155426
BENIGN,0,0.5,0.1,10,1.2208945751190186,1583,63,34,34,0.07155425219941348
BENIGN,0,0.7,0.1,10,1.267174243927002,1584,63,33,34,0.07096774193548387
BENIGN,0,0.1,0.5,10,1.0530941486358643,1584,63,36,34,0.07096774193548387
BENIGN,0,0.5,0.5,10,1.1575164794921875,1585,63,32,34,0.07038123167155426
BENIGN,0,0.7,0.5,10,1.1919057369232178,1585,63,32,34,0.07038123167155426
BENIGN,0,0.1,0.9,10,1.0946002006530762,1584,63,35,34,0.07096774193548387
BENIGN,0,0.5,0.9,10,1.1537060737609863,1585,63,32,34,0.07038123167155426
BENIGN,0,0.7,0.9,10,1.153127908706665,1585,63,32,34,0.07038123167155426
BENIGN,0,0.1,0.1,50,3.935447931289673,1585,63,32,34,0.07038123167155426
BENIGN,0,0.5,0.1,50,4.212424278259277,1583,63,34,34,0.07155425219941348
BENIGN,0,0.7,0.1,50,4.15773868560791,1584,63,33,34,0.07096774193548387
BENIGN,0,0.1,0.5,50,3.8806381225585938,1584,63,36,34,0.07096774193548387
BENIGN,0,0.5,0.5,50,4.06512975692749,1585,63,32,34,0.07038123167155426
BENIGN,0,0.7,0.5,50,3.8912787437438965,1585,63,32,34,0.07038123167155426
BENIGN,0,0.1,0.9,50,3.9682862758636475,1584,63,35,34,0.07096774193548387
BENIGN,0,0.5,0.9,50,4.005689382553101,1585,63,32,34,0.07038123167155426
BENIGN,0,0.7,0.9,50,4.001320123672485,1585,63,32,34,0.07038123167155426
BENIGN,0,0.1,0.1,100,4.7300238609313965,1585,63,32,34,0.07038123167155426
BENIGN,0,0.5,0.1,100,5.126891613006592,1583,63,34,34,0.07155425219941348
BENIGN,0,0.7,0.1,100,5.23912787437439,1584,63,33,34,0.07096774193548387
BENIGN,0,0.1,0.5,100,4.809248685836792,1584,63,36,34,0.07096774193548387
BENIGN,0,0.5,0.5,100,4.902123689651489,1585,63,32,34,0.07038123167155426
BENIGN,0,0.7,0.5,100,5.014315128326416,1585,63,32,34,0.07038123167155426
BENIGN,0,0.1,0.9,100,4.7896692752838135,1584,63,35,34,0.07096774193548387
BENIGN,0,0.5,0.9,100,5.101089239120483,1585,63,32,34,0.07038123167155426
BENIGN,0,0.7,0.9,100,5.031323432922363,1585,63,32,34,0.07038123167155426
BENIGN,0,0.1,0.1,150,6.7309651374816895,1585,63,32,34,0.07038123167155426
BENIGN,0,0.5,0.1,150,6.9229347705841064,1583,63,34,34,0.07155425219941348
BENIGN,0,0.7,0.1,150,7.3081183433532715,1584,63,33,34,0.07096774193548387
BENIGN,0,0.1,0.5,150,6.537405729293823,1584,63,36,34,0.07096774193548387
BENIGN,0,0.5,0.5,150,7.055239677429199,1585,63,32,34,0.07038123167155426
BENIGN,0,0.7,0.5,150,7.021328926086426,1585,63,32,34,0.07038123167155426
BENIGN,0,0.1,0.9,150,6.949172258377075,1584,63,35,34,0.07096774193548387
BENIGN,0,0.5,0.9,150,6.9653966426849365,1585,63,32,34,0.07038123167155426
BENIGN,0,0.7,0.9,150,7.057403326034546,1585,63,32,34,0.07038123167155426
BENIGN,0,0.1,0.1,200,8.013253450393677,1585,63,32,34,0.07038123167155426
BENIGN,0,0.5,0.1,200,8.375776052474976,1583,63,34,34,0.07155425219941348
BENIGN,0,0.7,0.1,200,8.811401128768921,1584,63,33,34,0.07096774193548387
BENIGN,0,0.1,0.5,200,8.062135219573975,1584,63,36,34,0.07096774193548387
