filter, sd, nu, gamma, n_components, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.1,10,1.05082368850708,1996,79,40,45,0.07205950720595072
BENIGN,0,0.5,0.1,10,1.1482243537902832,1996,79,40,45,0.07205950720595072
BENIGN,0,0.7,0.1,10,1.2323682308197021,1997,79,39,45,0.07159460715946071
BENIGN,0,0.1,0.5,10,1.022202491760254,1997,79,46,45,0.07159460715946071
BENIGN,0,0.5,0.5,10,1.1111102104187012,1997,79,38,45,0.07159460715946071
BENIGN,0,0.7,0.5,10,1.133415699005127,1995,79,40,45,0.07252440725244072
BENIGN,0,0.1,0.9,10,1.026951551437378,1997,79,51,45,0.07159460715946071
BENIGN,0,0.5,0.9,10,1.120335578918457,1995,79,40,45,0.07252440725244072
BENIGN,0,0.7,0.9,10,1.1136789321899414,1996,79,39,45,0.07205950720595072
BENIGN,0,0.1,0.1,50,3.586742877960205,1996,79,40,45,0.07205950720595072
BENIGN,0,0.5,0.1,50,3.9176971912384033,1996,79,40,45,0.07205950720595072
BENIGN,0,0.7,0.1,50,3.9133710861206055,1997,79,39,45,0.07159460715946071
BENIGN,0,0.1,0.5,50,3.67734694480896,1997,79,49,45,0.07159460715946071
BENIGN,0,0.5,0.5,50,3.579594373703003,1997,79,39,45,0.07159460715946071
BENIGN,0,0.7,0.5,50,4.048217058181763,1995,79,41,45,0.07252440725244072
BENIGN,0,0.1,0.9,50,3.4696526527404785,1997,79,52,45,0.07159460715946071
BENIGN,0,0.5,0.9,50,3.6657114028930664,1995,79,40,45,0.07252440725244072
BENIGN,0,0.7,0.9,50,3.753669261932373,1996,79,39,45,0.07205950720595072
BENIGN,0,0.1,0.1,100,4.529600620269775,1996,79,40,45,0.07205950720595072
BENIGN,0,0.5,0.1,100,4.74189829826355,1996,79,40,45,0.07205950720595072
BENIGN,0,0.7,0.1,100,5.011532306671143,1997,79,39,45,0.07159460715946071
BENIGN,0,0.1,0.5,100,4.6158201694488525,1997,79,49,45,0.07159460715946071
BENIGN,0,0.5,0.5,100,4.780917644500732,1997,79,39,45,0.07159460715946071
BENIGN,0,0.7,0.5,100,4.826562404632568,1995,79,41,45,0.07252440725244072
BENIGN,0,0.1,0.9,100,4.6085333824157715,1997,79,52,45,0.07159460715946071
BENIGN,0,0.5,0.9,100,4.700445890426636,1995,79,41,45,0.07252440725244072
BENIGN,0,0.7,0.9,100,4.773512125015259,1996,79,39,45,0.07205950720595072
BENIGN,0,0.1,0.1,150,6.6911985874176025,1996,79,40,45,0.07205950720595072
BENIGN,0,0.5,0.1,150,6.9443535804748535,1996,79,40,45,0.07205950720595072
BENIGN,0,0.7,0.1,150,7.154990196228027,1997,79,39,45,0.07159460715946071
BENIGN,0,0.1,0.5,150,6.7493085861206055,1997,79,49,45,0.07159460715946071
BENIGN,0,0.5,0.5,150,6.909526348114014,1997,79,39,45,0.07159460715946071
BENIGN,0,0.7,0.5,150,7.24086856842041,1995,79,41,45,0.07252440725244072
BENIGN,0,0.1,0.9,150,6.444379091262817,1997,79,52,45,0.07159460715946071
BENIGN,0,0.5,0.9,150,6.855917692184448,1995,79,41,45,0.07252440725244072
BENIGN,0,0.7,0.9,150,6.944443941116333,1996,79,39,45,0.07205950720595072
BENIGN,0,0.1,0.1,200,7.677791357040405,1996,79,40,45,0.07205950720595072
BENIGN,0,0.5,0.1,200,8.261567115783691,1996,79,40,45,0.07205950720595072
BENIGN,0,0.7,0.1,200,8.393225908279419,1997,79,39,45,0.07159460715946071
BENIGN,0,0.1,0.5,200,7.604804992675781,1997,79,49,45,0.07159460715946071
BENIGN,0,0.5,0.5,200,8.009122610092163,1997,79,39,45,0.07159460715946071
BENIGN,0,0.7,0.5,200,8.41040301322937,1995,79,41,45,0.07252440725244072
BENIGN,0,0.1,0.9,200,7.6045074462890625,1997,79,52,45,0.07159460715946071
BENIGN,0,0.5,0.9,200,7.96694016456604,1995,79,40,45,0.07252440725244072
BENIGN,0,0.7,0.9,200,8.074471473693848,1996,79,39,45,0.07205950720595072
BENIGN,42,0.1,0.1,10,1.115832805633545,2008,2,71,71,0.06648070664807067
BENIGN,42,0.5,0.1,10,1.1084473133087158,2023,2,55,71,0.05950720595072059
BENIGN,42,0.7,0.1,10,1.2100999355316162,2023,2,55,71,0.05950720595072059
BENIGN,42,0.1,0.5,10,1.0438563823699951,2013,2,66,71,0.06415620641562064
BENIGN,42,0.5,0.5,10,1.0996119976043701,2021,2,57,71,0.06043700604370061
BENIGN,42,0.7,0.5,10,1.1089165210723877,2021,2,57,71,0.06043700604370061
BENIGN,42,0.1,0.9,10,1.0234575271606445,2018,2,61,71,0.06183170618317062
BENIGN,42,0.5,0.9,10,1.1257309913635254,2020,2,58,71,0.06090190609019061
BENIGN,42,0.7,0.9,10,1.1069002151489258,2020,2,58,71,0.06090190609019061
BENIGN,42,0.1,0.1,50,3.434035539627075,2009,2,70,71,0.06601580660158066
BENIGN,42,0.5,0.1,50,3.470539093017578,2023,2,55,71,0.05950720595072059
