filter, sd, nu, gamma, n_components, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.1,10,1.0536255836486816,88781,129,739,8157,0.09141985795280103
BENIGN,0,0.5,0.1,10,1.1529879570007324,88746,129,770,8157,0.09177804613463782
BENIGN,0,0.7,0.1,10,1.2209692001342773,88738,129,776,8157,0.09185991771905766
BENIGN,0,0.1,0.5,10,1.0463409423828125,88867,129,647,8157,0.09053973842028779
BENIGN,0,0.5,0.5,10,1.1377289295196533,88780,129,733,8157,0.09143009190085351
BENIGN,0,0.7,0.5,10,1.1073546409606934,88804,129,709,8157,0.09118447714759399
BENIGN,0,0.1,0.9,10,1.0669538974761963,89008,129,505,8157,0.08909675174488814
BENIGN,0,0.5,0.9,10,1.1245055198669434,88807,129,706,8157,0.09115377530343656
BENIGN,0,0.7,0.9,10,1.1546552181243896,88816,129,697,8157,0.09106166977096425
BENIGN,0,0.1,0.1,50,3.830212116241455,88781,129,739,8157,0.09141985795280103
BENIGN,0,0.5,0.1,50,4.045047998428345,88746,129,770,8157,0.09177804613463782
BENIGN,0,0.7,0.1,50,4.296170473098755,88737,129,777,8157,0.09187015166711014
BENIGN,0,0.1,0.5,50,3.7935678958892822,88871,129,649,8157,0.09049880262807786
BENIGN,0,0.5,0.5,50,4.377313137054443,88779,129,735,8157,0.09144032584890599
BENIGN,0,0.7,0.5,50,3.9199540615081787,88805,129,708,8157,0.09117424319954152
BENIGN,0,0.1,0.9,50,3.9296071529388428,89010,129,507,8157,0.08907628384878319
BENIGN,0,0.5,0.9,50,3.9091548919677734,88806,129,707,8157,0.09116400925148904
BENIGN,0,0.7,0.9,50,4.15987229347229,88815,129,698,8157,0.09107190371901672
BENIGN,0,0.1,0.1,100,4.824543237686157,88781,129,739,8157,0.09141985795280103
BENIGN,0,0.5,0.1,100,5.05887246131897,88746,129,770,8157,0.09177804613463782
BENIGN,0,0.7,0.1,100,5.280631065368652,88737,129,777,8157,0.09187015166711014
BENIGN,0,0.1,0.5,100,5.073457479476929,88871,129,649,8157,0.09049880262807786
BENIGN,0,0.5,0.5,100,4.966585874557495,88779,129,735,8157,0.09144032584890599
BENIGN,0,0.7,0.5,100,5.072026968002319,88805,129,708,8157,0.09117424319954152
BENIGN,0,0.1,0.9,100,4.712182998657227,89011,129,510,8157,0.0890660499007307
BENIGN,0,0.5,0.9,100,5.046902418136597,88806,129,707,8157,0.09116400925148904
BENIGN,0,0.7,0.9,100,4.970460653305054,88815,129,698,8157,0.09107190371901672
BENIGN,0,0.1,0.1,150,6.848019361495972,88781,129,739,8157,0.09141985795280103
BENIGN,0,0.5,0.1,150,7.350614309310913,88746,129,770,8157,0.09177804613463782
BENIGN,0,0.7,0.1,150,7.563098192214966,88737,129,777,8157,0.09187015166711014
BENIGN,0,0.1,0.5,150,7.048708200454712,88871,129,649,8157,0.09049880262807786
BENIGN,0,0.5,0.5,150,6.9622156620025635,88779,129,735,8157,0.09144032584890599
BENIGN,0,0.7,0.5,150,7.256772994995117,88805,129,708,8157,0.09117424319954152
BENIGN,0,0.1,0.9,150,6.826911687850952,89011,129,510,8157,0.0890660499007307
BENIGN,0,0.5,0.9,150,7.233455419540405,88806,129,707,8157,0.09116400925148904
BENIGN,0,0.7,0.9,150,7.275027275085449,88815,129,698,8157,0.09107190371901672
BENIGN,0,0.1,0.1,200,8.20243215560913,88781,129,739,8157,0.09141985795280103
BENIGN,0,0.5,0.1,200,8.495136022567749,88746,129,770,8157,0.09177804613463782
BENIGN,0,0.7,0.1,200,9.059186220169067,88736,129,778,8157,0.09188038561516262
BENIGN,0,0.1,0.5,200,8.210553169250488,88871,129,649,8157,0.09049880262807786
BENIGN,0,0.5,0.5,200,8.571183919906616,88779,129,735,8157,0.09144032584890599
BENIGN,0,0.7,0.5,200,8.572494983673096,88804,129,709,8157,0.09118447714759399
BENIGN,0,0.1,0.9,200,8.504630327224731,89011,129,510,8157,0.0890660499007307
BENIGN,0,0.5,0.9,200,8.49726915359497,88806,129,707,8157,0.09116400925148904
BENIGN,0,0.7,0.9,200,8.69726824760437,88815,129,698,8157,0.09107190371901672
BENIGN,42,0.1,0.1,10,1.0494320392608643,75109,397,4292,18239,0.2313383957263033
BENIGN,42,0.5,0.1,10,1.1068706512451172,75051,397,4311,18239,0.23193196471334712
BENIGN,42,0.7,0.1,10,1.218311071395874,75014,397,4302,18239,0.23231062079128886
BENIGN,42,0.1,0.5,10,1.0538268089294434,75183,397,4218,18239,0.2305810835704198
BENIGN,42,0.5,0.5,10,1.1214139461517334,75041,397,4276,18239,0.23203430419387192
BENIGN,42,0.7,0.5,10,1.1164584159851074,75021,397,4287,18239,0.2322389831549215
BENIGN,42,0.1,0.9,10,1.062760353088379,75182,397,4219,18239,0.23059131751847228
BENIGN,42,0.5,0.9,10,1.192885398864746,75019,397,4289,18239,0.23225945105102647
BENIGN,42,0.7,0.9,10,1.1107704639434814,75020,397,4288,18239,0.232249217102974
BENIGN,42,0.1,0.1,50,4.120011329650879,75109,397,4292,18239,0.2313383957263033
BENIGN,42,0.5,0.1,50,3.9768731594085693,75051,397,4314,18239,0.23193196471334712
BENIGN,42,0.7,0.1,50,4.206310510635376,75014,397,4302,18239,0.23231062079128886
BENIGN,42,0.1,0.5,50,4.109241724014282,75184,397,4219,18239,0.23057084962236732
BENIGN,42,0.5,0.5,50,4.101974964141846,75045,397,4301,18239,0.231993368401662
BENIGN,42,0.7,0.5,50,4.357583999633789,75021,397,4287,18239,0.2322389831549215
BENIGN,42,0.1,0.9,50,4.125228643417358,75180,397,4223,18239,0.23061178541457725
BENIGN,42,0.5,0.9,50,4.097972869873047,75025,397,4359,18239,0.23219804736271157
BENIGN,42,0.7,0.9,50,4.048141956329346,75021,397,4304,18239,0.2322389831549215
BENIGN,42,0.1,0.1,100,5.287087917327881,75109,397,4292,18239,0.2313383957263033
BENIGN,42,0.5,0.1,100,5.256049394607544,75051,397,4314,18239,0.23193196471334712
BENIGN,42,0.7,0.1,100,5.582427978515625,75014,397,4302,18239,0.23231062079128886
BENIGN,42,0.1,0.5,100,5.032503128051758,75185,397,4218,18239,0.23056061567431485
BENIGN,42,0.5,0.5,100,5.260203838348389,75045,397,4302,18239,0.231993368401662
BENIGN,42,0.7,0.5,100,5.384616136550903,75021,397,4287,18239,0.2322389831549215
BENIGN,42,0.1,0.9,100,5.076944828033447,75180,397,4223,18239,0.23061178541457725
BENIGN,42,0.5,0.9,100,5.321162700653076,75025,397,4359,18239,0.23219804736271157
BENIGN,42,0.7,0.9,100,5.44038987159729,75021,397,4304,18239,0.2322389831549215
BENIGN,42,0.1,0.1,150,7.377306938171387,75109,397,4292,18239,0.2313383957263033
BENIGN,42,0.5,0.1,150,7.543274641036987,75051,397,4314,18239,0.23193196471334712
BENIGN,42,0.7,0.1,150,7.765618801116943,75014,397,4302,18239,0.23231062079128886
BENIGN,42,0.1,0.5,150,7.414569616317749,75185,397,4218,18239,0.23056061567431485
BENIGN,42,0.5,0.5,150,7.692434072494507,75045,397,4302,18239,0.231993368401662
BENIGN,42,0.7,0.5,150,7.891424655914307,75021,397,4287,18239,0.2322389831549215
BENIGN,42,0.1,0.9,150,7.2496771812438965,75180,397,4223,18239,0.23061178541457725
BENIGN,42,0.5,0.9,150,7.557067632675171,75025,397,4359,18239,0.23219804736271157
BENIGN,42,0.7,0.9,150,7.9277284145355225,75021,397,4304,18239,0.2322389831549215
BENIGN,42,0.1,0.1,200,8.501121044158936,75109,397,4292,18239,0.2313383957263033
BENIGN,42,0.5,0.1,200,8.907549858093262,75051,397,4314,18239,0.23193196471334712
BENIGN,42,0.7,0.1,200,9.443621635437012,75014,397,4302,18239,0.23231062079128886
BENIGN,42,0.1,0.5,200,8.558905363082886,75185,397,4218,18239,0.23056061567431485
BENIGN,42,0.5,0.5,200,9.019853591918945,75045,397,4302,18239,0.231993368401662
BENIGN,42,0.7,0.5,200,9.109916687011719,75021,397,4287,18239,0.2322389831549215
BENIGN,42,0.1,0.9,200,8.416732788085938,75179,397,4224,18239,0.23062201936262972
BENIGN,42,0.5,0.9,200,8.737767696380615,75025,397,4359,18239,0.23219804736271157
BENIGN,42,0.7,0.9,200,9.001490116119385,75021,397,4304,18239,0.2322389831549215
BENIGN,123,0.1,0.1,10,1.050175666809082,82362,145,916,14377,0.15711157050166813
