filter, sd, nu, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.6325719356536865,1453,74,63,17,0.09300873907615481
BENIGN,0,0.3,0.6559150218963623,1455,74,61,17,0.09176029962546817
BENIGN,0,0.5,0.6714112758636475,1455,74,61,17,0.09176029962546817
BENIGN,0,0.7,0.698875904083252,1455,74,61,17,0.09176029962546817
BENIGN,0,0.9,0.6927986145019531,1455,74,61,17,0.09176029962546817
BENIGN,42,0.1,0.6237998008728027,1480,2,105,15,0.07615480649188515
BENIGN,42,0.3,0.6524059772491455,1480,2,105,15,0.07615480649188515
BENIGN,42,0.5,0.6956770420074463,1480,2,105,15,0.07615480649188515
BENIGN,42,0.7,0.7029111385345459,1480,2,105,15,0.07615480649188515
BENIGN,42,0.9,0.6959903240203857,1480,2,105,15,0.07615480649188515
BENIGN,123,0.1,0.634660005569458,1337,86,168,16,0.16541822721598
BENIGN,123,0.3,0.6588559150695801,1337,86,168,16,0.16541822721598
BENIGN,123,0.5,0.6804406642913818,1337,86,168,16,0.16541822721598
BENIGN,123,0.7,0.6964664459228516,1337,86,168,16,0.16541822721598
BENIGN,123,0.9,0.7078289985656738,1337,86,168,16,0.16541822721598
BENIGN,222,0.1,0.6365354061126709,1472,76,24,31,0.08114856429463171
BENIGN,222,0.3,0.6559269428253174,1472,76,24,31,0.08114856429463171
BENIGN,222,0.5,0.6796793937683105,1472,76,24,31,0.08114856429463171
BENIGN,222,0.7,0.6984987258911133,1472,76,24,31,0.08114856429463171
BENIGN,222,0.9,0.6857082843780518,1472,76,24,31,0.08114856429463171
BENIGN,419,0.1,0.6317038536071777,1467,88,36,14,0.08426966292134831
BENIGN,419,0.3,0.6589481830596924,1467,88,36,14,0.08426966292134831
BENIGN,419,0.5,0.6871883869171143,1468,88,35,14,0.08364544319600499
BENIGN,419,0.7,0.6984145641326904,1468,88,35,14,0.08364544319600499
BENIGN,419,0.9,0.6966361999511719,1468,88,35,14,0.08364544319600499
BENIGN,844,0.1,0.637678861618042,1434,85,56,30,0.10486891385767791
BENIGN,844,0.3,0.6714119911193848,1433,85,57,30,0.10549313358302122
BENIGN,844,0.5,0.6904852390289307,1432,85,58,30,0.10611735330836454
BENIGN,844,0.7,0.7065088748931885,1432,85,58,30,0.10611735330836454
BENIGN,844,0.9,0.7141110897064209,1432,85,58,30,0.10611735330836454
BENIGN,918,0.1,0.634345531463623,1415,87,59,47,0.11672908863920099
BENIGN,918,0.3,0.6640036106109619,1415,87,59,47,0.11672908863920099
BENIGN,918,0.5,0.6834874153137207,1415,87,59,47,0.11672908863920099
BENIGN,918,0.7,0.7023773193359375,1415,87,59,47,0.11672908863920099
BENIGN,918,0.9,0.709841251373291,1415,87,59,47,0.11672908863920099
BENIGN,1344,0.1,0.6359937191009521,1445,73,89,32,0.09800249687890138
BENIGN,1344,0.3,0.6754035949707031,1445,73,89,32,0.09800249687890138
BENIGN,1344,0.5,0.6974873542785645,1445,73,89,32,0.09800249687890138
BENIGN,1344,0.7,0.7140944004058838,1445,73,89,32,0.09800249687890138
BENIGN,1344,0.9,0.7054440975189209,1445,73,89,32,0.09800249687890138
BENIGN,65536,0.1,0.6376643180847168,1348,85,201,20,0.1585518102372035
BENIGN,65536,0.3,0.6712462902069092,1348,85,201,20,0.1585518102372035
BENIGN,65536,0.5,0.6993207931518555,1348,85,201,20,0.1585518102372035
BENIGN,65536,0.7,0.7050824165344238,1348,85,201,20,0.1585518102372035
BENIGN,65536,0.9,0.7006745338439941,1348,85,201,20,0.1585518102372035
BENIGN,815149,0.1,0.6370346546173096,1434,65,61,49,0.10486891385767791
BENIGN,815149,0.3,0.6622936725616455,1434,65,61,49,0.10486891385767791
BENIGN,815149,0.5,0.6802537441253662,1434,65,61,49,0.10486891385767791
BENIGN,815149,0.7,0.705254077911377,1434,65,61,49,0.10486891385767791
BENIGN,815149,0.9,0.7110283374786377,1434,65,61,49,0.10486891385767791
DrDoS_LDAP,0,0.1,0.708202600479126,246,276802,4682,1901984,0.9998871522362206
DrDoS_LDAP,0,0.3,0.7541067600250244,248,276802,1577,1901984,0.9998862347747265
DrDoS_LDAP,0,0.5,0.7731890678405762,251,276802,1520,1901984,0.9998848585824853
DrDoS_LDAP,0,0.7,0.7888681888580322,253,276802,1517,1901984,0.9998839411209911
DrDoS_LDAP,0,0.9,0.7816562652587891,253,276802,1517,1901984,0.9998839411209911
DrDoS_LDAP,42,0.1,0.7631433010101318,121283,33,1702062,356550,0.944363758803043
DrDoS_LDAP,42,0.3,0.7981662750244141,122051,33,1701294,356550,0.9440114535892928
DrDoS_LDAP,42,0.5,0.8280327320098877,122064,33,1701281,356550,0.9440054900895809
DrDoS_LDAP,42,0.7,0.8356895446777344,122064,33,1701281,356550,0.9440054900895809
DrDoS_LDAP,42,0.9,0.8553061485290527,122064,33,1701281,356550,0.9440054900895809
DrDoS_LDAP,123,0.1,0.7176568508148193,22413,162221,117574,1971198,0.9897184677659079
DrDoS_LDAP,123,0.3,0.7499978542327881,22586,162221,117658,1971198,0.9896391073466647
DrDoS_LDAP,123,0.5,0.7724907398223877,22617,162221,117821,1971198,0.9896248866935055
DrDoS_LDAP,123,0.7,0.790640115737915,22618,162221,117842,1971198,0.9896244279627584
DrDoS_LDAP,123,0.9,0.78108811378479,22618,162221,117874,1971198,0.9896244279627584
DrDoS_LDAP,222,0.1,0.7027297019958496,475,33,177553,2001879,0.9997821028951415
DrDoS_LDAP,222,0.3,0.7463023662567139,506,33,177522,2001879,0.9997678822419823
DrDoS_LDAP,222,0.5,0.7564883232116699,510,33,177518,2001879,0.999766047318994
DrDoS_LDAP,222,0.7,0.7664077281951904,515,33,177513,2001879,0.9997637536652587
DrDoS_LDAP,222,0.9,0.7582504749298096,522,33,177506,2001879,0.9997605425500292
DrDoS_LDAP,419,0.1,0.7096476554870605,11126,92,46292,2122478,0.9948961617080931
DrDoS_LDAP,419,0.3,0.7372245788574219,11200,92,46218,2122478,0.9948622156328099
DrDoS_LDAP,419,0.5,0.7570505142211914,11244,92,46174,2122478,0.9948420314799388
DrDoS_LDAP,419,0.7,0.7735438346862793,11274,92,46144,2122478,0.9948282695575267
DrDoS_LDAP,419,0.9,0.7739338874816895,11280,92,46138,2122478,0.9948255171730442
DrDoS_LDAP,844,0.1,0.7543995380401611,342,33,1292106,887447,0.9998431140845019
DrDoS_LDAP,844,0.3,0.7910971641540527,389,33,1292059,887447,0.9998215537393895
DrDoS_LDAP,844,0.5,0.8084883689880371,410,33,1292038,887447,0.999811920393701
DrDoS_LDAP,844,0.7,0.8325996398925781,412,33,1292036,887447,0.9998110029322069
DrDoS_LDAP,844,0.9,0.8212425708770752,413,33,1292035,887447,0.9998105442014599
DrDoS_LDAP,918,0.1,0.7647509574890137,1422354,38,503937,253609,0.3475224869812214
DrDoS_LDAP,918,0.3,0.7983551025390625,1423453,38,502831,253609,0.3470183418901909
DrDoS_LDAP,918,0.5,0.8089609146118164,1423607,38,502677,253609,0.346947697355142
DrDoS_LDAP,918,0.7,0.8237431049346924,1423803,38,502481,253609,0.34685778612871615
DrDoS_LDAP,918,0.9,0.8317017555236816,1423868,38,502416,253609,0.3468279686301566
DrDoS_LDAP,1344,0.1,0.7954130172729492,333,1088599,1944957,234611,0.9998472426612255
DrDoS_LDAP,1344,0.3,0.8354780673980713,333,1088599,1944957,234611,0.9998472426612255
DrDoS_LDAP,1344,0.5,0.853369951248169,333,1088599,1944957,234611,0.9998472426612255
DrDoS_LDAP,1344,0.7,0.8547501564025879,333,1088599,1944957,234611,0.9998472426612255
DrDoS_LDAP,1344,0.9,0.871326208114624,333,1088599,1944957,234611,0.9998472426612255
DrDoS_LDAP,65536,0.1,0.7680153846740723,1037201,2387,1109690,30671,0.5242040104076832
DrDoS_LDAP,65536,0.3,0.817288875579834,1040001,2387,1106890,30671,0.5229195643158857
DrDoS_LDAP,65536,0.5,0.8340535163879395,1040349,2387,1106542,30671,0.5227599260159052
DrDoS_LDAP,65536,0.7,0.8604989051818848,1040333,2387,1106558,30671,0.5227672657078583
DrDoS_LDAP,65536,0.9,0.8442604541778564,1040341,2387,1106550,30671,0.5227635958618817
DrDoS_LDAP,815149,0.1,0.7754454612731934,1524807,95621,410048,242480,0.3005241457516028
DrDoS_LDAP,815149,0.3,0.8278059959411621,1524959,95621,411719,242480,0.30045441867804806
DrDoS_LDAP,815149,0.5,0.8141348361968994,1525001,95621,411984,242480,0.30043515198667115
DrDoS_LDAP,815149,0.7,0.8446173667907715,1525024,95621,412106,242480,0.3004246011794885
DrDoS_LDAP,815149,0.9,0.8654968738555908,1525051,95621,412091,242480,0.30041221544931757
