filter, sd, nu, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.6374855041503906,1751,86,125,38,0.12230576441102757
BENIGN,0,0.3,0.6400244235992432,1771,86,105,38,0.11228070175438597
BENIGN,0,0.5,0.6596412658691406,1771,86,105,38,0.11228070175438597
BENIGN,0,0.7,0.6822261810302734,1771,86,105,38,0.11228070175438597
BENIGN,0,0.9,0.683814525604248,1771,86,105,38,0.11228070175438597
BENIGN,42,0.1,0.6150777339935303,1875,0,87,33,0.06015037593984962
BENIGN,42,0.3,0.6270315647125244,1876,0,86,33,0.05964912280701754
BENIGN,42,0.5,0.6592297554016113,1876,0,86,33,0.05964912280701754
BENIGN,42,0.7,0.6734170913696289,1876,0,86,33,0.05964912280701754
BENIGN,42,0.9,0.6651623249053955,1876,0,86,33,0.05964912280701754
BENIGN,123,0.1,0.6274223327636719,1816,95,49,42,0.08972431077694236
BENIGN,123,0.3,0.6506192684173584,1819,95,46,42,0.08822055137844612
BENIGN,123,0.5,0.6687016487121582,1819,95,46,42,0.08822055137844612
BENIGN,123,0.7,0.6937317848205566,1819,95,46,42,0.08822055137844612
BENIGN,123,0.9,0.682807445526123,1819,95,46,42,0.08822055137844612
BENIGN,222,0.1,0.6276757717132568,1825,86,39,49,0.08521303258145363
BENIGN,222,0.3,0.6495428085327148,1824,86,41,49,0.08571428571428572
BENIGN,222,0.5,0.6690893173217773,1824,86,41,49,0.08571428571428572
BENIGN,222,0.7,0.6876342296600342,1824,86,41,49,0.08571428571428572
BENIGN,222,0.9,0.6776738166809082,1824,86,42,49,0.08571428571428572
BENIGN,419,0.1,0.6104650497436523,1847,91,21,39,0.07418546365914787
BENIGN,419,0.3,0.64607834815979,1847,91,22,39,0.07418546365914787
BENIGN,419,0.5,0.6632587909698486,1847,91,22,39,0.07418546365914787
BENIGN,419,0.7,0.6834762096405029,1847,91,22,39,0.07418546365914787
BENIGN,419,0.9,0.687631368637085,1847,91,22,39,0.07418546365914787
BENIGN,844,0.1,0.62398362159729,1688,92,151,67,0.15388471177944862
BENIGN,844,0.3,0.63942551612854,1700,92,139,67,0.14786967418546365
BENIGN,844,0.5,0.6655888557434082,1700,92,139,67,0.14786967418546365
BENIGN,844,0.7,0.6825518608093262,1700,92,139,67,0.14786967418546365
BENIGN,844,0.9,0.6825966835021973,1700,92,139,67,0.14786967418546365
BENIGN,918,0.1,0.61751389503479,1742,102,91,64,0.1268170426065163
BENIGN,918,0.3,0.6420586109161377,1744,102,89,64,0.12581453634085213
BENIGN,918,0.5,0.6694324016571045,1745,102,88,64,0.12531328320802004
BENIGN,918,0.7,0.6837947368621826,1745,102,88,64,0.12531328320802004
BENIGN,918,0.9,0.690549373626709,1745,102,88,64,0.12531328320802004
BENIGN,1344,0.1,0.6230142116546631,1781,77,123,54,0.10726817042606517
BENIGN,1344,0.3,0.6519961357116699,1781,77,122,54,0.10726817042606517
BENIGN,1344,0.5,0.6767604351043701,1781,77,122,54,0.10726817042606517
BENIGN,1344,0.7,0.6942958831787109,1781,77,123,54,0.10726817042606517
BENIGN,1344,0.9,0.6844642162322998,1781,77,123,54,0.10726817042606517
BENIGN,65536,0.1,0.6257646083831787,1687,89,213,66,0.1543859649122807
BENIGN,65536,0.3,0.6555194854736328,1686,89,214,66,0.1548872180451128
BENIGN,65536,0.5,0.6717324256896973,1686,89,214,66,0.1548872180451128
BENIGN,65536,0.7,0.6883671283721924,1686,89,214,66,0.1548872180451128
BENIGN,65536,0.9,0.6770308017730713,1686,89,214,66,0.1548872180451128
BENIGN,815149,0.1,0.6271665096282959,1798,74,88,54,0.0987468671679198
BENIGN,815149,0.3,0.6505444049835205,1798,74,88,54,0.0987468671679198
BENIGN,815149,0.5,0.6682426929473877,1798,74,88,54,0.0987468671679198
BENIGN,815149,0.7,0.6996214389801025,1798,74,88,54,0.0987468671679198
BENIGN,815149,0.9,0.6966252326965332,1798,74,88,54,0.0987468671679198
DrDoS_MSSQL,0,0.1,0.9956436157226562,2501,1228673,3924971,298703,0.9994469859407066
DrDoS_MSSQL,0,0.3,1.031587839126587,2642,1228673,3763443,298703,0.9994158084187712
DrDoS_MSSQL,0,0.5,1.0499773025512695,2670,1228673,3747359,298703,0.9994096171378195
DrDoS_MSSQL,0,0.7,1.0734992027282715,2680,1228673,3736233,298703,0.999407405966051
DrDoS_MSSQL,0,0.9,1.079402208328247,2686,1228673,3725391,298703,0.99940607926299
DrDoS_MSSQL,42,0.1,0.9403805732727051,312929,38,3707783,501758,0.9308060229665567
DrDoS_MSSQL,42,0.3,0.9889364242553711,317603,38,3703108,501758,0.9297725212819755
DrDoS_MSSQL,42,0.5,1.008162498474121,319835,38,3700876,501758,0.9292789877432538
DrDoS_MSSQL,42,0.7,1.0265145301818848,320237,38,3700474,501758,0.9291900986381614
DrDoS_MSSQL,42,0.9,1.034076452255249,320682,38,3700029,501758,0.9290917014944646
DrDoS_MSSQL,123,0.1,0.9719498157501221,2938,1670423,2672993,1508250,0.9993503577344246
DrDoS_MSSQL,123,0.3,1.004732608795166,3054,1670423,2672940,1508250,0.9993247081419103
DrDoS_MSSQL,123,0.5,1.025658130645752,3094,1670423,2672936,1508250,0.9993158634548365
DrDoS_MSSQL,123,0.7,1.0403730869293213,3106,1670423,2672933,1508250,0.9993132100487143
DrDoS_MSSQL,123,0.9,1.046177864074707,3116,1670423,2672930,1508250,0.9993109988769459
DrDoS_MSSQL,222,0.1,0.7939693927764893,6481,18,338234,4177759,0.9985669395768569
DrDoS_MSSQL,222,0.3,0.8483743667602539,9268,18,335447,4177759,0.9979506860049853
DrDoS_MSSQL,222,0.5,0.8760325908660889,10142,18,334573,4177759,0.9977574295924213
DrDoS_MSSQL,222,0.7,0.870039701461792,10551,18,334164,4177759,0.997666992667091
DrDoS_MSSQL,222,0.9,0.863886833190918,10836,18,333879,4177759,0.9976039742716898
DrDoS_MSSQL,419,0.1,0.9775736331939697,155628,622100,3941528,266433,0.9655879760017105
DrDoS_MSSQL,419,0.3,1.0210235118865967,190769,622100,3868339,266433,0.9578176972901427
DrDoS_MSSQL,419,0.5,1.0403916835784912,201670,622100,3844131,266433,0.9554072989453374
DrDoS_MSSQL,419,0.7,1.0664911270141602,209608,622100,3831848,266433,0.9536520707955287
DrDoS_MSSQL,419,0.9,1.0610160827636719,209708,622100,3829022,266433,0.9536299590778441
DrDoS_MSSQL,844,0.1,0.9672682285308838,3080,870,4462089,57302,0.9993189590953123
DrDoS_MSSQL,844,0.3,0.9893112182617188,38895,870,4426274,57302,0.9913996474065498
DrDoS_MSSQL,844,0.5,1.0139946937561035,40187,870,4424982,57302,0.9911139640140639
DrDoS_MSSQL,844,0.7,1.0271077156066895,40895,870,4424274,57302,0.9909574130528566
DrDoS_MSSQL,844,0.9,1.0312700271606445,41238,870,4423931,57302,0.9908815698611981
DrDoS_MSSQL,918,0.1,0.8954880237579346,2535251,713,145946,1840586,0.4394124562823702
DrDoS_MSSQL,918,0.3,0.9320244789123535,2541787,713,139408,1840586,0.43796723441450053
DrDoS_MSSQL,918,0.5,0.9462592601776123,2541839,713,139356,1840586,0.43795573632130447
DrDoS_MSSQL,918,0.7,0.9602193832397461,2542045,713,139150,1840586,0.4379101861828741
DrDoS_MSSQL,918,0.9,0.9659855365753174,2542215,713,138980,1840586,0.43787259626281017
DrDoS_MSSQL,1344,0.1,0.9602046012878418,2993,471380,4050779,468701,0.999338196289698
DrDoS_MSSQL,1344,0.3,0.9845113754272461,2980,471380,4050792,468701,0.9993410708129971
DrDoS_MSSQL,1344,0.5,1.0166149139404297,2976,471380,4050796,468701,0.9993419552817044
DrDoS_MSSQL,1344,0.7,1.0209181308746338,2971,471380,4050801,468701,0.9993430608675886
DrDoS_MSSQL,1344,0.9,1.0182216167449951,2968,471380,4050804,468701,0.9993437242191192
DrDoS_MSSQL,65536,0.1,0.9880998134613037,116339,3779291,947892,2072,0.9742754487628383
