filter, sd, nu, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.6524271965026855,12652,479,956,314,0.11752807421357327
BENIGN,0,0.3,0.6786346435546875,12800,479,808,314,0.10720513357048198
BENIGN,0,0.5,0.6958770751953125,12806,479,802,314,0.10678663597684314
BENIGN,0,0.7,0.7122550010681152,12808,479,800,314,0.10664713677896352
BENIGN,0,0.9,0.7109849452972412,12808,479,799,314,0.10664713677896352
BENIGN,42,0.1,0.65667724609375,13590,20,348,383,0.052102950408035156
BENIGN,42,0.3,0.6727237701416016,13589,20,349,383,0.05217270000697496
BENIGN,42,0.5,0.7100725173950195,13589,20,349,383,0.05217270000697496
BENIGN,42,0.7,0.7149457931518555,13589,20,351,383,0.05217270000697496
BENIGN,42,0.9,0.7107992172241211,13589,20,351,383,0.05217270000697496
BENIGN,123,0.1,0.6545596122741699,13090,517,353,430,0.0869777498779382
BENIGN,123,0.3,0.6758761405944824,13106,517,337,430,0.08586175629490131
BENIGN,123,0.5,0.6971189975738525,13109,517,334,430,0.08565250749808188
BENIGN,123,0.7,0.7247591018676758,13110,517,333,430,0.08558275789914208
BENIGN,123,0.9,0.712169885635376,13111,517,332,430,0.08551300830020227
BENIGN,222,0.1,0.6525135040283203,13212,442,270,447,0.07846829880728186
BENIGN,222,0.3,0.6789898872375488,13207,442,275,447,0.07881704680198089
BENIGN,222,0.5,0.7070250511169434,13207,442,276,447,0.07881704680198089
BENIGN,222,0.7,0.7172350883483887,13208,442,275,447,0.07874729720304108
BENIGN,222,0.9,0.7094027996063232,13207,442,278,447,0.07881704680198089
BENIGN,419,0.1,0.6436069011688232,13376,494,75,411,0.06702936458115366
BENIGN,419,0.3,0.6679103374481201,13377,494,74,411,0.06695961498221385
BENIGN,419,0.5,0.6954159736633301,13377,494,74,411,0.06695961498221385
BENIGN,419,0.7,0.7036879062652588,13378,494,73,411,0.06688986538327404
BENIGN,419,0.9,0.7116901874542236,13378,494,73,411,0.06688986538327404
BENIGN,844,0.1,0.6566629409790039,13003,493,272,580,0.09304596498570133
BENIGN,844,0.3,0.6735324859619141,13005,493,270,580,0.09290646578782172
BENIGN,844,0.5,0.6961688995361328,13005,493,270,580,0.09290646578782172
BENIGN,844,0.7,0.7190871238708496,13005,493,270,580,0.09290646578782172
BENIGN,844,0.9,0.7122046947479248,13006,493,269,580,0.09283671618888191
BENIGN,918,0.1,0.6433656215667725,13060,553,220,549,0.08907023784613238
BENIGN,918,0.3,0.6633517742156982,13062,553,217,549,0.08893073864825277
BENIGN,918,0.5,0.6969099044799805,13062,553,217,549,0.08893073864825277
BENIGN,918,0.7,0.7097182273864746,13062,553,217,549,0.08893073864825277
BENIGN,918,0.9,0.7120993137359619,13062,553,218,549,0.08893073864825277
BENIGN,1344,0.1,0.6568408012390137,13050,363,534,530,0.08976773383553044
BENIGN,1344,0.3,0.6822288036346436,13048,363,536,530,0.08990723303341006
BENIGN,1344,0.5,0.7059006690979004,13047,363,537,530,0.08997698263234986
BENIGN,1344,0.7,0.7195901870727539,13047,363,547,530,0.08997698263234986
BENIGN,1344,0.9,0.7174410820007324,13047,363,547,530,0.08997698263234986
BENIGN,65536,0.1,0.6460530757904053,12538,512,1307,387,0.12547952849271116
BENIGN,65536,0.3,0.6708836555480957,12528,512,1317,387,0.12617702448210924
BENIGN,65536,0.5,0.7008368968963623,12520,512,1325,387,0.12673502127362768
BENIGN,65536,0.7,0.7083940505981445,12519,512,1326,387,0.12680477087256747
BENIGN,65536,0.9,0.7030029296875,12515,512,1330,387,0.1270837692683267
BENIGN,815149,0.1,0.6614954471588135,13244,367,274,511,0.07623631164120806
BENIGN,815149,0.3,0.6708381175994873,13245,367,273,511,0.07616656204226825
BENIGN,815149,0.5,0.691051721572876,13245,367,273,511,0.07616656204226825
BENIGN,815149,0.7,0.7116749286651611,13245,367,273,511,0.07616656204226825
BENIGN,815149,0.9,0.7123923301696777,13245,367,273,511,0.07616656204226825
DrDoS_NTP,0,0.1,0.7064063549041748,76295,5153,55478,1070825,0.936560347702012
DrDoS_NTP,0,0.3,0.7211089134216309,76772,5153,54996,1070825,0.9361637199525377
DrDoS_NTP,0,0.5,0.7402863502502441,76909,5153,54853,1070825,0.9360498038064623
DrDoS_NTP,0,0.7,0.761415958404541,76969,5153,54793,1070825,0.9359999135235095
DrDoS_NTP,0,0.9,0.774848461151123,77012,5153,54750,1070825,0.9359641588207267
DrDoS_NTP,42,0.1,0.6985244750976562,197297,141,46281,958949,0.8359466140712217
DrDoS_NTP,42,0.3,0.726689338684082,197473,141,46105,958949,0.835800269241227
DrDoS_NTP,42,0.5,0.7382314205169678,197499,141,46079,958949,0.8357786501186142
DrDoS_NTP,42,0.7,0.7639544010162354,197626,141,45952,958949,0.8356730490196975
DrDoS_NTP,42,0.9,0.7519207000732422,197706,141,45872,958949,0.8356065286424272
DrDoS_NTP,123,0.1,0.7314155101776123,443743,34067,307065,445209,0.6310256028617066
DrDoS_NTP,123,0.3,0.7440962791442871,446337,34067,304483,445209,0.6288686796287165
DrDoS_NTP,123,0.5,0.76194167137146,447309,34067,303513,445209,0.6280604570448821
DrDoS_NTP,123,0.7,0.7863993644714355,447771,34067,303051,445209,0.627676301866146
DrDoS_NTP,123,0.9,0.7802975177764893,448136,34067,302686,445209,0.6273728026448502
DrDoS_NTP,222,0.1,0.701446533203125,100543,104,28652,1073373,0.916398021351378
DrDoS_NTP,222,0.3,0.7473490238189697,101709,104,27487,1073373,0.9154284868526632
DrDoS_NTP,222,0.5,0.7650961875915527,102025,104,27171,1073373,0.9151657313624454
DrDoS_NTP,222,0.7,0.7580382823944092,102181,104,27014,1073373,0.9150360166267683
DrDoS_NTP,222,0.9,0.7476215362548828,102290,104,26905,1073373,0.9149453826127375
DrDoS_NTP,419,0.1,0.719374418258667,537877,10830,108242,551631,0.5527527379371532
DrDoS_NTP,419,0.3,0.7364892959594727,543008,10830,102434,551631,0.548486287239978
DrDoS_NTP,419,0.5,0.7708618640899658,544478,10830,100850,551631,0.5472639753076359
DrDoS_NTP,419,0.7,0.7714500427246094,545027,10830,100298,551631,0.5468074792186184
DrDoS_NTP,419,0.9,0.7728147506713867,545276,10830,100049,551631,0.5466004345443645
DrDoS_NTP,844,0.1,0.6992611885070801,187356,282,73998,941173,0.8442126024517748
DrDoS_NTP,844,0.3,0.7259464263916016,192019,282,69334,941173,0.840335295961631
DrDoS_NTP,844,0.5,0.7453784942626953,192759,282,68594,941173,0.8397199824718806
DrDoS_NTP,844,0.7,0.7684881687164307,192882,282,68471,941173,0.8396177073918275
DrDoS_NTP,844,0.9,0.7745361328125,192929,282,68424,941173,0.8395786266701811
DrDoS_NTP,918,0.1,0.714036226272583,552935,148,156,649454,0.5402319399254473
DrDoS_NTP,918,0.3,0.739020824432373,552947,148,128,649454,0.5402219618688567
DrDoS_NTP,918,0.5,0.7600011825561523,552948,148,127,649454,0.5402211303641409
DrDoS_NTP,918,0.7,0.7714550495147705,552948,148,127,649454,0.5402211303641409
DrDoS_NTP,918,0.9,0.780097246170044,552948,148,127,649454,0.5402211303641409
DrDoS_NTP,1344,0.1,0.6997687816619873,91758,1945,74261,1036534,0.923702790280375
DrDoS_NTP,1344,0.3,0.7343463897705078,91693,1945,74324,1036534,0.9237568380869072
DrDoS_NTP,1344,0.5,0.7624995708465576,91619,1945,74398,1036534,0.9238183694358822
DrDoS_NTP,1344,0.7,0.7748851776123047,91601,1945,74415,1036534,0.923833336520768
DrDoS_NTP,1344,0.9,0.7710592746734619,91592,1945,74424,1036534,0.923840820063211
DrDoS_NTP,65536,0.1,0.7278831005096436,454805,49902,144129,567103,0.6218274976946532
DrDoS_NTP,65536,0.3,0.7401599884033203,454439,49902,131952,567103,0.6221318284206648
DrDoS_NTP,65536,0.5,0.7672770023345947,454510,49902,131880,567103,0.6220727915858375
DrDoS_NTP,65536,0.7,0.7711660861968994,454478,49902,131911,567103,0.6220993997367457
DrDoS_NTP,65536,0.9,0.7745873928070068,454534,49902,131854,567103,0.6220528354726563
DrDoS_NTP,815149,0.1,0.725482702255249,370988,76023,145288,672918,0.691521728465483
DrDoS_NTP,815149,0.3,0.7438631057739258,370738,76023,145287,672918,0.6917296046444528
DrDoS_NTP,815149,0.5,0.7669153213500977,370674,76023,145175,672918,0.691782820946269
DrDoS_NTP,815149,0.7,0.8011748790740967,370654,76023,145007,672918,0.6917994510405866
DrDoS_NTP,815149,0.9,0.7965519428253174,370646,76023,144900,672918,0.6918061030783136
