filter, sd, nu, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.610318660736084,1519,63,98,34,0.10909090909090909
BENIGN,0,0.3,0.6302192211151123,1528,63,89,34,0.10381231671554252
BENIGN,0,0.5,0.6441857814788818,1529,63,88,34,0.1032258064516129
BENIGN,0,0.7,0.6695733070373535,1530,63,87,34,0.10263929618768329
BENIGN,0,0.9,0.6775121688842773,1530,63,87,34,0.10263929618768329
BENIGN,42,0.1,0.6040334701538086,1587,1,60,57,0.06920821114369502
BENIGN,42,0.3,0.6195049285888672,1589,1,58,57,0.06803519061583578
BENIGN,42,0.5,0.6464779376983643,1589,1,58,57,0.06803519061583578
BENIGN,42,0.7,0.6601567268371582,1589,1,58,57,0.06803519061583578
BENIGN,42,0.9,0.6608614921569824,1589,1,58,57,0.06803519061583578
BENIGN,123,0.1,0.6041264533996582,1518,68,31,95,0.10967741935483871
BENIGN,123,0.3,0.6163730621337891,1519,68,30,95,0.10909090909090909
BENIGN,123,0.5,0.6449284553527832,1519,68,30,95,0.10909090909090909
BENIGN,123,0.7,0.6784706115722656,1519,68,30,95,0.10909090909090909
BENIGN,123,0.9,0.6632344722747803,1519,68,30,95,0.10909090909090909
BENIGN,222,0.1,0.6047403812408447,1540,60,36,74,0.0967741935483871
BENIGN,222,0.3,0.6253235340118408,1539,60,37,74,0.09736070381231672
BENIGN,222,0.5,0.6536426544189453,1539,60,37,74,0.09736070381231672
BENIGN,222,0.7,0.6667792797088623,1539,60,37,74,0.09736070381231672
BENIGN,222,0.9,0.6589598655700684,1539,60,37,74,0.09736070381231672
BENIGN,419,0.1,0.6014533042907715,1553,68,10,76,0.08914956011730206
BENIGN,419,0.3,0.62601637840271,1553,68,10,76,0.08914956011730206
BENIGN,419,0.5,0.6439886093139648,1553,68,10,76,0.08914956011730206
BENIGN,419,0.7,0.660186767578125,1553,68,10,76,0.08914956011730206
BENIGN,419,0.9,0.6634979248046875,1553,68,10,76,0.08914956011730206
BENIGN,844,0.1,0.6061489582061768,1524,68,49,67,0.106158357771261
BENIGN,844,0.3,0.6278417110443115,1524,68,49,67,0.106158357771261
BENIGN,844,0.5,0.646531343460083,1524,68,49,67,0.106158357771261
BENIGN,844,0.7,0.6672067642211914,1524,68,49,67,0.106158357771261
BENIGN,844,0.9,0.6544945240020752,1524,68,49,67,0.106158357771261
BENIGN,918,0.1,0.6021106243133545,1528,78,24,83,0.10381231671554252
BENIGN,918,0.3,0.6311135292053223,1528,78,24,83,0.10381231671554252
BENIGN,918,0.5,0.6480631828308105,1528,78,24,83,0.10381231671554252
BENIGN,918,0.7,0.6659319400787354,1528,78,24,83,0.10381231671554252
BENIGN,918,0.9,0.6639480590820312,1528,78,24,83,0.10381231671554252
BENIGN,1344,0.1,0.5952973365783691,1535,48,75,68,0.09970674486803519
BENIGN,1344,0.3,0.6288299560546875,1536,48,74,68,0.09912023460410557
BENIGN,1344,0.5,0.6449027061462402,1536,48,74,68,0.09912023460410557
BENIGN,1344,0.7,0.6646487712860107,1536,48,74,68,0.09912023460410557
BENIGN,1344,0.9,0.6557466983795166,1536,48,74,68,0.09912023460410557
BENIGN,65536,0.1,0.604576826095581,1456,72,177,57,0.14604105571847506
BENIGN,65536,0.3,0.6380312442779541,1453,72,180,57,0.14780058651026393
BENIGN,65536,0.5,0.6478488445281982,1454,72,179,57,0.1472140762463343
BENIGN,65536,0.7,0.6622600555419922,1454,72,179,57,0.1472140762463343
BENIGN,65536,0.9,0.6508162021636963,1454,72,179,57,0.1472140762463343
BENIGN,815149,0.1,0.6112849712371826,1534,43,59,77,0.10029325513196481
BENIGN,815149,0.3,0.6272218227386475,1534,43,59,77,0.10029325513196481
BENIGN,815149,0.5,0.6420876979827881,1535,43,58,77,0.09970674486803519
BENIGN,815149,0.7,0.6619508266448975,1535,43,58,77,0.09970674486803519
BENIGN,815149,0.9,0.6834096908569336,1535,43,58,77,0.09970674486803519
DrDoS_NetBIOS,0,0.1,0.9294102191925049,2294243,15437,1789396,5732,0.4395089211005472
DrDoS_NetBIOS,0,0.3,0.9580745697021484,2994997,15437,1086867,5732,0.26831242382318504
DrDoS_NetBIOS,0,0.5,0.9783170223236084,2995325,15437,1086365,5732,0.2682322923489345
DrDoS_NetBIOS,0,0.7,0.98846435546875,2995445,15437,1086119,5732,0.26820297595591597
