filter, sd, nu, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.6055176258087158,1321,90,76,26,0.12050599201065246
BENIGN,0,0.3,0.634425163269043,1323,90,74,26,0.11917443408788282
BENIGN,0,0.5,0.5693237781524658,1323,90,74,26,0.11917443408788282
BENIGN,0,0.7,0.666750431060791,1324,90,73,26,0.118508655126498
BENIGN,0,0.9,0.6637499332427979,1324,90,73,26,0.118508655126498
BENIGN,42,0.1,0.6095130443572998,1400,3,63,37,0.06790945406125166
BENIGN,42,0.3,0.6389386653900146,1400,3,63,37,0.06790945406125166
BENIGN,42,0.5,0.6527316570281982,1400,3,63,37,0.06790945406125166
BENIGN,42,0.7,0.6678156852722168,1400,3,63,37,0.06790945406125166
BENIGN,42,0.9,0.6660819053649902,1400,3,63,37,0.06790945406125166
BENIGN,123,0.1,0.6068317890167236,1199,101,165,39,0.20173102529960052
BENIGN,123,0.3,0.6248066425323486,1200,101,164,39,0.2010652463382157
BENIGN,123,0.5,0.6534080505371094,1203,101,161,39,0.19906790945406125
BENIGN,123,0.7,0.674210786819458,1203,101,161,39,0.19906790945406125
BENIGN,123,0.9,0.6800084114074707,1203,101,161,39,0.19906790945406125
BENIGN,222,0.1,0.5987327098846436,1351,89,45,25,0.10053262316910785
BENIGN,222,0.3,0.6245236396789551,1351,89,45,25,0.10053262316910785
BENIGN,222,0.5,0.6473231315612793,1352,89,44,25,0.09986684420772303
BENIGN,222,0.7,0.6605885028839111,1352,89,44,25,0.09986684420772303
BENIGN,222,0.9,0.6525318622589111,1352,89,44,25,0.09986684420772303
BENIGN,419,0.1,0.602830171585083,1339,103,18,46,0.1085219707057257
BENIGN,419,0.3,0.6229143142700195,1339,103,18,46,0.1085219707057257
BENIGN,419,0.5,0.6332998275756836,1339,103,18,46,0.1085219707057257
BENIGN,419,0.7,0.6684529781341553,1339,103,18,46,0.1085219707057257
BENIGN,419,0.9,0.6590027809143066,1339,103,18,46,0.1085219707057257
BENIGN,844,0.1,0.6020267009735107,1329,103,35,38,0.1151797603195739
BENIGN,844,0.3,0.6240670680999756,1327,103,37,38,0.11651131824234354
BENIGN,844,0.5,0.6475484371185303,1327,103,37,38,0.11651131824234354
BENIGN,844,0.7,0.6628460884094238,1327,103,37,38,0.11651131824234354
BENIGN,844,0.9,0.6574337482452393,1328,103,36,38,0.11584553928095873
BENIGN,918,0.1,0.6006736755371094,1310,102,40,55,0.1278295605858855
BENIGN,918,0.3,0.6178493499755859,1309,102,41,55,0.1284953395472703
BENIGN,918,0.5,0.6409196853637695,1309,102,41,55,0.1284953395472703
BENIGN,918,0.7,0.6673314571380615,1309,102,41,55,0.1284953395472703
BENIGN,918,0.9,0.6646213531494141,1309,102,41,55,0.1284953395472703
BENIGN,1344,0.1,0.6015772819519043,1320,80,102,52,0.12117177097203728
BENIGN,1344,0.3,0.6259293556213379,1320,80,102,52,0.12117177097203728
BENIGN,1344,0.5,0.6449782848358154,1320,80,102,52,0.12117177097203728
BENIGN,1344,0.7,0.6666548252105713,1320,80,103,52,0.12117177097203728
BENIGN,1344,0.9,0.6566095352172852,1320,80,103,52,0.12117177097203728
BENIGN,65536,0.1,0.6020288467407227,1139,100,283,40,0.24167776298268975
BENIGN,65536,0.3,0.6339473724365234,1129,100,293,40,0.24833555259653795
BENIGN,65536,0.5,0.6431927680969238,1124,100,298,40,0.25166444740346205
BENIGN,65536,0.7,0.6602001190185547,1124,100,298,40,0.25166444740346205
BENIGN,65536,0.9,0.655764102935791,1119,100,303,40,0.25499334221038616
BENIGN,815149,0.1,0.5976212024688721,1339,73,66,36,0.1085219707057257
BENIGN,815149,0.3,0.619469165802002,1339,73,66,36,0.1085219707057257
BENIGN,815149,0.5,0.6437268257141113,1339,73,66,36,0.1085219707057257
BENIGN,815149,0.7,0.6636655330657959,1339,73,66,36,0.1085219707057257
BENIGN,815149,0.9,0.6257743835449219,1339,73,66,36,0.1085219707057257
DrDoS_SNMP,0,0.1,0.9037630558013916,106491,2091520,132228,2833282,0.979361661346435
DrDoS_SNMP,0,0.3,0.9245021343231201,168716,2091520,67398,2833282,0.9673022326367967
DrDoS_SNMP,0,0.5,0.9615557193756104,168751,2091520,67303,2833282,0.9672954495109657
DrDoS_SNMP,0,0.7,0.9591033458709717,168769,2091520,67272,2833282,0.9672919610462526
DrDoS_SNMP,0,0.9,0.9679281711578369,168770,2091520,67270,2833282,0.9672917672426574
DrDoS_SNMP,42,0.1,0.9822788238525391,82121,96,4429583,648064,0.9840846549608003
DrDoS_SNMP,42,0.3,1.00663161277771,82713,96,4428991,648064,0.9839699232324579
DrDoS_SNMP,42,0.5,1.027759313583374,82719,96,4428985,648064,0.9839687604108869
DrDoS_SNMP,42,0.7,1.048288345336914,82723,96,4428981,648064,0.9839679851965062
DrDoS_SNMP,42,0.9,1.0568153858184814,82727,96,4428977,648064,0.9839672099821255
DrDoS_SNMP,123,0.1,0.8401012420654297,8471,144510,291179,4810403,0.9983582897452897
DrDoS_SNMP,123,0.3,0.8613059520721436,8548,144510,292660,4810403,0.9983433668684615
DrDoS_SNMP,123,0.5,0.8810567855834961,8576,144510,293143,4810403,0.9983379403677966
DrDoS_SNMP,123,0.7,0.8996083736419678,8576,144510,293441,4810403,0.9983379403677966
DrDoS_SNMP,123,0.9,0.8907573223114014,8582,144510,293575,4810403,0.9983367775462255
DrDoS_SNMP,222,0.1,0.8163707256317139,104390,98,118976,4936421,0.9797688426998934
DrDoS_SNMP,222,0.3,0.8459465503692627,105795,98,117571,4936421,0.9794965486486754
DrDoS_SNMP,222,0.5,0.8776466846466064,105852,98,117514,4936421,0.9794855018437505
DrDoS_SNMP,222,0.7,0.8865773677825928,105881,98,117485,4936421,0.9794798815394905
DrDoS_SNMP,222,0.9,0.8736069202423096,105902,98,117464,4936421,0.9794758116639919
DrDoS_SNMP,419,0.1,0.8186080455780029,62943,231076,240570,4833923,0.9878014203090276
DrDoS_SNMP,419,0.3,0.8440189361572266,63567,231076,98166,4833923,0.9876804868656397
DrDoS_SNMP,419,0.5,0.8586492538452148,63590,231076,75629,4833923,0.9876760293829506
DrDoS_SNMP,419,0.7,0.882958173751831,63602,231076,67243,4833923,0.9876737037398086
DrDoS_SNMP,419,0.9,0.8849990367889404,63602,231076,67236,4833923,0.9876737037398086
DrDoS_SNMP,844,0.1,1.0135529041290283,3074,118,4815197,341493,0.9994042477484383
DrDoS_SNMP,844,0.3,1.0104942321777344,3526,118,4814745,341493,0.9993166485234201
DrDoS_SNMP,844,0.5,1.0453705787658691,3547,118,4814724,341493,0.9993125786479214
