filter, sd, nu, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.6134066581726074,684,32,26,22,0.10236220472440945
BENIGN,0,0.3,0.6364960670471191,685,32,25,22,0.1010498687664042
BENIGN,0,0.5,0.6600306034088135,685,32,25,22,0.1010498687664042
BENIGN,0,0.7,0.6903080940246582,685,32,25,22,0.1010498687664042
BENIGN,0,0.9,0.6926627159118652,685,32,25,22,0.1010498687664042
BENIGN,42,0.1,0.6190958023071289,681,1,22,58,0.1062992125984252
BENIGN,42,0.3,0.6417067050933838,681,1,22,58,0.1062992125984252
BENIGN,42,0.5,0.6646220684051514,681,1,22,58,0.1062992125984252
BENIGN,42,0.7,0.6788785457611084,681,1,22,58,0.1062992125984252
BENIGN,42,0.9,0.6822199821472168,681,1,22,58,0.1062992125984252
BENIGN,123,0.1,0.606377363204956,638,31,22,72,0.16272965879265092
BENIGN,123,0.3,0.6558125019073486,639,31,21,72,0.16141732283464566
BENIGN,123,0.5,0.6626460552215576,640,31,20,72,0.16010498687664043
BENIGN,123,0.7,0.6777801513671875,640,31,20,72,0.16010498687664043
BENIGN,123,0.9,0.6815497875213623,640,31,20,72,0.16010498687664043
BENIGN,222,0.1,0.6153101921081543,696,30,14,24,0.08661417322834646
BENIGN,222,0.3,0.6442074775695801,695,30,15,24,0.08792650918635171
BENIGN,222,0.5,0.6677460670471191,695,30,15,24,0.08792650918635171
BENIGN,222,0.7,0.6867475509643555,695,30,15,24,0.08792650918635171
BENIGN,222,0.9,0.67901611328125,695,30,15,24,0.08792650918635171
BENIGN,419,0.1,0.6224768161773682,664,31,2,65,0.12860892388451445
BENIGN,419,0.3,0.6385328769683838,664,31,2,65,0.12860892388451445
BENIGN,419,0.5,0.6490402221679688,664,31,2,65,0.12860892388451445
BENIGN,419,0.7,0.6754562854766846,664,31,2,65,0.12860892388451445
BENIGN,419,0.9,0.6752736568450928,664,31,2,65,0.12860892388451445
BENIGN,844,0.1,0.6091403961181641,656,31,42,33,0.13910761154855644
BENIGN,844,0.3,0.6458885669708252,657,31,41,33,0.1377952755905512
BENIGN,844,0.5,0.6660928726196289,657,31,41,33,0.1377952755905512
BENIGN,844,0.7,0.6911416053771973,657,31,41,33,0.1377952755905512
BENIGN,844,0.9,0.6795120239257812,657,31,41,33,0.1377952755905512
BENIGN,918,0.1,0.6229016780853271,658,33,21,53,0.13648293963254593
BENIGN,918,0.3,0.6498913764953613,659,33,20,53,0.13517060367454067
BENIGN,918,0.5,0.6612775325775146,660,33,19,53,0.13385826771653545
BENIGN,918,0.7,0.6878154277801514,660,33,19,53,0.13385826771653545
BENIGN,918,0.9,0.6902604103088379,660,33,19,53,0.13385826771653545
BENIGN,1344,0.1,0.6043059825897217,676,28,34,37,0.11286089238845144
BENIGN,1344,0.3,0.6381134986877441,676,28,34,37,0.11286089238845144
BENIGN,1344,0.5,0.6703453063964844,676,28,34,37,0.11286089238845144
BENIGN,1344,0.7,0.6759471893310547,676,28,34,37,0.11286089238845144
BENIGN,1344,0.9,0.6703426837921143,676,28,34,37,0.11286089238845144
BENIGN,65536,0.1,0.617854118347168,627,31,78,44,0.17716535433070865
BENIGN,65536,0.3,0.6416301727294922,626,31,79,44,0.1784776902887139
BENIGN,65536,0.5,0.666985273361206,626,31,79,44,0.1784776902887139
BENIGN,65536,0.7,0.682276725769043,626,31,79,44,0.1784776902887139
BENIGN,65536,0.9,0.6695394515991211,626,31,79,44,0.1784776902887139
BENIGN,815149,0.1,0.629063606262207,677,27,27,39,0.1115485564304462
BENIGN,815149,0.3,0.6375584602355957,677,27,27,39,0.1115485564304462
BENIGN,815149,0.5,0.6506204605102539,677,27,27,39,0.1115485564304462
BENIGN,815149,0.7,0.6788899898529053,677,27,27,39,0.1115485564304462
BENIGN,815149,0.9,0.6815767288208008,677,27,27,39,0.1115485564304462
DrDoS_SSDP,0,0.1,0.7593762874603271,1052,46105,1266265,1313877,0.9995970290468511
DrDoS_SSDP,0,0.3,0.792327880859375,1082,46105,1266153,1313877,0.9995855374797461
DrDoS_SSDP,0,0.5,0.8246557712554932,1093,46105,1266140,1313877,0.999581323905141
DrDoS_SSDP,0,0.7,0.8301091194152832,1096,46105,1266136,1313877,0.9995801747484304
DrDoS_SSDP,0,0.9,0.8383147716522217,1096,46105,1266136,1313877,0.9995801747484304
DrDoS_SSDP,42,0.1,0.8077850341796875,1073297,20,1149401,387894,0.5888711833632753
DrDoS_SSDP,42,0.3,0.830366849899292,1073875,20,1148823,387894,0.5886497791703854
DrDoS_SSDP,42,0.5,0.8660407066345215,1074109,20,1148589,387894,0.5885601449469664
DrDoS_SSDP,42,0.7,0.8812694549560547,1074126,20,1148572,387894,0.5885536330589403
DrDoS_SSDP,42,0.9,0.877314567565918,1074488,20,1148210,387894,0.5884149681492065
DrDoS_SSDP,123,0.1,0.8520538806915283,1251245,571497,1173148,45807,0.520707803923221
DrDoS_SSDP,123,0.3,0.8936638832092285,1251703,571497,1172816,45807,0.5205323659987513
DrDoS_SSDP,123,0.5,0.9080421924591064,1251737,571497,1172822,45807,0.5205193422226989
DrDoS_SSDP,123,0.7,0.9106924533843994,1251747,571497,1172832,45807,0.5205155117003306
DrDoS_SSDP,123,0.9,0.9251739978790283,1251756,571497,1172836,45807,0.520512064230199
DrDoS_SSDP,222,0.1,0.7643728256225586,609915,23,140718,1859968,0.7663706949716733
DrDoS_SSDP,222,0.3,0.7815062999725342,610088,23,140545,1859968,0.7663044269347011
DrDoS_SSDP,222,0.5,0.8067610263824463,610102,23,140531,1859968,0.7662990642033854
DrDoS_SSDP,222,0.7,0.8107850551605225,610110,23,140523,1859968,0.7662959997854908
DrDoS_SSDP,222,0.9,0.8059625625610352,610122,23,140511,1859968,0.7662914031586487
DrDoS_SSDP,419,0.1,0.8173520565032959,390295,999060,1151306,937563,0.8504966272250547
DrDoS_SSDP,419,0.3,0.8230657577514648,390495,999060,1148849,937563,0.850420016777688
DrDoS_SSDP,419,0.5,0.8477072715759277,390530,999060,1145749,937563,0.8504066099493988
DrDoS_SSDP,419,0.7,0.864499568939209,390556,999060,1144872,937563,0.8503966505912411
DrDoS_SSDP,419,0.9,0.8660678863525391,390566,999060,1144265,937563,0.8503928200688728
DrDoS_SSDP,844,0.1,0.8156964778900146,243302,23,2231270,136019,0.9068026246739268
DrDoS_SSDP,844,0.3,0.835029125213623,406134,23,2068438,136019,0.8444294628458483
DrDoS_SSDP,844,0.5,0.8580756187438965,419822,23,2054750,136019,0.8391862438280708
DrDoS_SSDP,844,0.7,0.8676722049713135,428424,23,2046148,136019,0.8358912284868287
DrDoS_SSDP,844,0.9,0.8674836158752441,462995,23,2011577,136019,0.8226487296072565
DrDoS_SSDP,918,0.1,0.7835297584533691,1337633,21,34078,1238888,0.4876166872876454
DrDoS_SSDP,918,0.3,0.7945492267608643,1337662,21,34041,1238888,0.48760557877277727
DrDoS_SSDP,918,0.5,0.8168892860412598,1337673,21,34030,1238888,0.4876013651981721
DrDoS_SSDP,918,0.7,0.8342564105987549,1337676,21,34027,1238888,0.4876002160414616
DrDoS_SSDP,918,0.9,0.8422448635101318,1337677,21,34026,1238888,0.4875998329892247
DrDoS_SSDP,1344,0.1,0.7974317073822021,489393,16706,1142940,978265,0.8125369166593248
DrDoS_SSDP,1344,0.3,0.8144330978393555,489393,16706,1142940,978265,0.8125369166593248
DrDoS_SSDP,1344,0.5,0.8398652076721191,489393,16706,1142940,978265,0.8125369166593248
DrDoS_SSDP,1344,0.7,0.8549249172210693,489393,16706,1142940,978265,0.8125369166593248
DrDoS_SSDP,1344,0.9,0.8481943607330322,489393,16706,1142940,978265,0.8125369166593248
DrDoS_SSDP,65536,0.1,0.8433537483215332,998780,1271718,834392,18103,0.6174150868953999
DrDoS_SSDP,65536,0.3,0.8781392574310303,1002133,1271718,807152,18103,0.6161307127452971
DrDoS_SSDP,65536,0.5,0.9079022407531738,1003812,1271718,811855,18103,0.6154875680396535
DrDoS_SSDP,65536,0.7,0.9167149066925049,1004079,1271718,812291,18103,0.615385293092419
DrDoS_SSDP,65536,0.9,0.9059882164001465,1004434,1271718,818114,18103,0.6152493095483431
DrDoS_SSDP,815149,0.1,0.8035888671875,1724632,48596,94277,791685,0.33937585468530346
DrDoS_SSDP,815149,0.3,0.8295941352844238,1724652,48596,94263,791685,0.33936819364056675
DrDoS_SSDP,815149,0.5,0.8422002792358398,1724649,48596,94266,791685,0.33936934279727726
DrDoS_SSDP,815149,0.7,0.8699314594268799,1724650,48596,94265,791685,0.33936895974504044
DrDoS_SSDP,815149,0.9,0.8720388412475586,1724648,48596,94267,791685,0.3393697258495141
