filter, sd, nu, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.6337754726409912,1931,79,107,45,0.10227801022780102
BENIGN,0,0.3,0.6675915718078613,1939,79,99,45,0.09855880985588099
BENIGN,0,0.5,0.6877257823944092,1941,79,97,45,0.09762900976290098
BENIGN,0,0.7,0.7117092609405518,1941,79,97,45,0.09762900976290098
BENIGN,0,0.9,0.7083432674407959,1941,79,97,45,0.09762900976290098
BENIGN,42,0.1,0.6514678001403809,2009,2,70,71,0.06601580660158066
BENIGN,42,0.3,0.6675677299499512,2010,2,69,71,0.06555090655509066
BENIGN,42,0.5,0.687760591506958,2010,2,69,71,0.06555090655509066
BENIGN,42,0.7,0.7090888023376465,2010,2,69,71,0.06555090655509066
BENIGN,42,0.9,0.7084283828735352,2010,2,69,71,0.06555090655509066
BENIGN,123,0.1,0.6408350467681885,1902,85,56,117,0.11576011157601115
BENIGN,123,0.3,0.6689035892486572,1908,85,50,117,0.11297071129707113
BENIGN,123,0.5,0.6774044036865234,1908,85,50,117,0.11297071129707113
BENIGN,123,0.7,0.6968581676483154,1908,85,50,117,0.11297071129707113
BENIGN,123,0.9,0.6964998245239258,1908,85,50,117,0.11297071129707113
BENIGN,222,0.1,0.6422119140625,1966,74,49,66,0.08600650860065086
BENIGN,222,0.3,0.6715037822723389,1966,74,50,66,0.08600650860065086
BENIGN,222,0.5,0.6958611011505127,1966,74,50,66,0.08600650860065086
BENIGN,222,0.7,0.7134191989898682,1966,74,50,66,0.08600650860065086
BENIGN,222,0.9,0.7023556232452393,1966,74,50,66,0.08600650860065086
BENIGN,419,0.1,0.6417052745819092,1967,83,12,89,0.08554160855416086
BENIGN,419,0.3,0.6651763916015625,1967,83,13,89,0.08554160855416086
BENIGN,419,0.5,0.6821980476379395,1967,83,13,89,0.08554160855416086
BENIGN,419,0.7,0.7182269096374512,1967,83,13,89,0.08554160855416086
BENIGN,419,0.9,0.705418586730957,1967,83,13,89,0.08554160855416086
BENIGN,844,0.1,0.646369457244873,1857,80,141,74,0.13668061366806136
BENIGN,844,0.3,0.6693291664123535,1868,80,130,74,0.13156671315667132
BENIGN,844,0.5,0.6912491321563721,1875,80,123,74,0.12831241283124128
BENIGN,844,0.7,0.711294412612915,1876,80,122,74,0.1278475127847513
BENIGN,844,0.9,0.7071805000305176,1886,80,112,74,0.12319851231985124
BENIGN,918,0.1,0.6436324119567871,1907,89,53,106,0.11343561134356113
BENIGN,918,0.3,0.6718215942382812,1908,89,52,106,0.11297071129707113
BENIGN,918,0.5,0.683466911315918,1908,89,52,106,0.11297071129707113
BENIGN,918,0.7,0.7038912773132324,1908,89,52,106,0.11297071129707113
BENIGN,918,0.9,0.7078053951263428,1908,89,52,106,0.11297071129707113
BENIGN,1344,0.1,0.6436178684234619,1918,63,97,99,0.10832171083217108
BENIGN,1344,0.3,0.6698477268218994,1920,63,94,99,0.10739191073919108
BENIGN,1344,0.5,0.6920969486236572,1920,63,94,99,0.10739191073919108
BENIGN,1344,0.7,0.719780445098877,1920,63,96,99,0.10739191073919108
BENIGN,1344,0.9,0.7013218402862549,1920,63,96,99,0.10739191073919108
BENIGN,65536,0.1,0.6464354991912842,1763,81,282,79,0.1803812180381218
BENIGN,65536,0.3,0.6671428680419922,1762,81,283,79,0.18084611808461182
BENIGN,65536,0.5,0.6921947002410889,1762,81,283,79,0.18084611808461182
BENIGN,65536,0.7,0.7048392295837402,1762,81,283,79,0.18084611808461182
BENIGN,65536,0.9,0.7029719352722168,1762,81,283,79,0.18084611808461182
BENIGN,815149,0.1,0.6443328857421875,1949,59,66,80,0.09390980939098094
BENIGN,815149,0.3,0.6643691062927246,1949,59,66,80,0.09390980939098094
BENIGN,815149,0.5,0.6843256950378418,1949,59,66,80,0.09390980939098094
BENIGN,815149,0.7,0.7075519561767578,1950,59,65,80,0.09344490934449093
BENIGN,815149,0.9,0.7041451930999756,1950,59,65,80,0.09344490934449093
DrDoS_UDP,0,0.1,0.8222064971923828,2257,17404,1533597,1594773,0.9992799818033505
DrDoS_UDP,0,0.3,0.8529248237609863,2314,17404,1533527,1594773,0.9992617979144675
DrDoS_UDP,0,0.5,0.8830971717834473,2321,17404,1533520,1594773,0.9992595648053064
DrDoS_UDP,0,0.7,0.8932445049285889,2327,17404,1533514,1594773,0.9992576507117398
DrDoS_UDP,0,0.9,0.897089958190918,2329,17404,1533512,1594773,0.9992570126805509
DrDoS_UDP,42,0.1,0.862525224685669,1286607,27,1342367,505643,0.5895523030852318
DrDoS_UDP,42,0.3,0.8834595680236816,1287319,27,1341655,505643,0.589325163981991
DrDoS_UDP,42,0.5,0.9123630523681641,1287793,27,1341181,505643,0.5891739505902267
DrDoS_UDP,42,0.7,0.9253451824188232,1287813,27,1341161,505643,0.5891675702783379
DrDoS_UDP,42,0.9,0.9316556453704834,1288254,27,1340720,505643,0.5890268844011902
DrDoS_UDP,123,0.1,0.9099223613739014,1551144,633564,1400522,9399,0.5051608747790418
DrDoS_UDP,123,0.3,0.9441900253295898,1551674,633564,1400073,9399,0.504991796513989
DrDoS_UDP,123,0.5,0.9758307933807373,1551696,633564,1400083,9399,0.5049847781709114
DrDoS_UDP,123,0.7,0.986626386642456,1551705,633564,1400077,9399,0.5049819070305613
DrDoS_UDP,123,0.9,0.9925832748413086,1551712,633564,1400084,9399,0.5049796739214003
DrDoS_UDP,222,0.1,0.795809268951416,701809,24,174508,2258319,0.7761119846821473
DrDoS_UDP,222,0.3,0.8377807140350342,702015,24,174302,2258319,0.7760462674696927
DrDoS_UDP,222,0.5,0.854315996170044,702049,24,174268,2258319,0.7760354209394817
DrDoS_UDP,222,0.7,0.8619492053985596,702071,24,174246,2258319,0.7760284025964042
DrDoS_UDP,222,0.9,0.8419020175933838,702093,24,174224,2258319,0.7760213842533265
DrDoS_UDP,419,0.1,0.8579347133636475,388732,1259927,1384361,1195296,0.8759884299424209
DrDoS_UDP,419,0.3,0.8752584457397461,388931,1259927,1382033,1195296,0.8759249458391275
DrDoS_UDP,419,0.5,0.8991250991821289,388957,1259927,1379429,1195296,0.875916651433672
DrDoS_UDP,419,0.7,0.9161472320556641,388980,1259927,1378602,1195296,0.875909314075
DrDoS_UDP,419,0.9,0.9216225147247314,388983,1259927,1377992,1195296,0.8759083570282166
DrDoS_UDP,844,0.1,0.8463034629821777,308814,24,2632681,193128,0.9014835182188211
DrDoS_UDP,844,0.3,0.8726334571838379,495770,24,2445725,193128,0.8418416387448268
DrDoS_UDP,844,0.5,0.8770842552185059,509924,24,2431571,193128,0.8373262920211328
DrDoS_UDP,844,0.7,0.9014627933502197,519535,24,2421960,193128,0.8342602331429767
DrDoS_UDP,844,0.9,0.8990962505340576,555934,24,2385561,193128,0.8226483845209805
DrDoS_UDP,918,0.1,0.8054776191711426,1572734,30,4206,1557686,0.4982733280950973
DrDoS_UDP,918,0.3,0.8171553611755371,1572734,30,4198,1557686,0.4982733280950973
DrDoS_UDP,918,0.5,0.841339111328125,1572734,30,4198,1557686,0.4982733280950973
DrDoS_UDP,918,0.7,0.8609857559204102,1572734,30,4198,1557686,0.4982733280950973
DrDoS_UDP,918,0.9,0.8663849830627441,1572734,30,4198,1557686,0.4982733280950973
DrDoS_UDP,1344,0.1,0.81488037109375,611020,482,1341152,1182461,0.8050750914856971
DrDoS_UDP,1344,0.3,0.8554317951202393,611020,482,1341152,1182461,0.8050750914856971
DrDoS_UDP,1344,0.5,0.8826620578765869,611020,482,1341152,1182461,0.8050750914856971
DrDoS_UDP,1344,0.7,0.9037802219390869,611020,482,1341152,1182461,0.8050750914856971
DrDoS_UDP,1344,0.9,0.8850176334381104,611020,482,1341152,1182461,0.8050750914856971
DrDoS_UDP,65536,0.1,0.9138634204864502,1212000,1539762,1013878,15048,0.6133530995395647
DrDoS_UDP,65536,0.3,0.921489953994751,1215690,1539762,985494,15048,0.6121759319960838
DrDoS_UDP,65536,0.5,0.9478142261505127,1217366,1539762,989759,15048,0.6116412618598035
DrDoS_UDP,65536,0.7,0.9613251686096191,1217659,1539762,990391,15048,0.6115477902906328
DrDoS_UDP,65536,0.9,0.9570534229278564,1218029,1539762,995637,15048,0.6114297545206903
DrDoS_UDP,815149,0.1,0.8292224407196045,2031244,47736,93041,1010352,0.3520014878887325
DrDoS_UDP,815149,0.3,0.8294174671173096,2031265,47736,93020,1010352,0.3519947885612492
DrDoS_UDP,815149,0.5,0.8899648189544678,2031265,47736,93020,1010352,0.3519947885612492
DrDoS_UDP,815149,0.7,0.8840405941009521,2031264,47736,93021,1010352,0.35199510757684366
DrDoS_UDP,815149,0.9,0.889674186706543,2031264,47736,93021,1010352,0.35199510757684366
