filter, sd, nu, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.8004741668701172,84817,129,4701,8159,0.1319872280328305
BENIGN,0,0.3,0.7470352649688721,84847,129,4670,8159,0.13168020959125612
BENIGN,0,0.5,0.7509260177612305,84849,129,4668,8159,0.13165974169515116
BENIGN,0,0.7,0.7683839797973633,84853,129,4664,8159,0.13161880590294123
BENIGN,0,0.9,0.8378748893737793,84854,129,4663,8159,0.13160857195488876
BENIGN,42,0.1,0.7092299461364746,75509,398,3752,18272,0.22724481650531142
BENIGN,42,0.3,0.7221851348876953,75979,398,3278,18272,0.22243486092064596
BENIGN,42,0.5,0.834338903427124,76048,398,3209,18272,0.22172871850502487
BENIGN,42,0.7,0.8506121635437012,76069,398,3188,18272,0.2215138055959228
BENIGN,42,0.9,0.8795075416564941,76083,398,3174,18272,0.22137053032318807
BENIGN,123,0.1,0.7025890350341797,82175,145,1039,14441,0.15902531878748183
BENIGN,123,0.3,0.7120919227600098,82174,145,1040,14441,0.15903555273553432
BENIGN,123,0.5,0.7508544921875,82175,145,1039,14441,0.15902531878748183
BENIGN,123,0.7,0.8092613220214844,82174,145,1040,14441,0.15903555273553432
BENIGN,123,0.9,0.800161600112915,82174,145,1040,14441,0.15903555273553432
BENIGN,222,0.1,0.7127189636230469,79092,121,9654,8924,0.1905765806332767
BENIGN,222,0.3,0.7333745956420898,79124,121,9623,8924,0.19024909429559736
BENIGN,222,0.5,0.7626376152038574,79128,121,9619,8924,0.19020815850338743
BENIGN,222,0.7,0.7838540077209473,79130,121,9616,8924,0.19018769060728247
BENIGN,222,0.9,0.8591396808624268,79134,121,9612,8924,0.19014675481507257
BENIGN,419,0.1,0.7190122604370117,85663,109,804,11190,0.12332930798043269
BENIGN,419,0.3,0.7423572540283203,85671,109,798,11190,0.12324743639601285
BENIGN,419,0.5,0.7748513221740723,85670,109,799,11190,0.12325767034406533
BENIGN,419,0.7,0.7903134822845459,85670,109,799,11190,0.12325767034406533
BENIGN,419,0.9,0.8545377254486084,85670,109,799,11190,0.12325767034406533
BENIGN,844,0.1,0.7440798282623291,82911,205,1944,12789,0.1514931330208568
BENIGN,844,0.3,0.7561028003692627,82923,205,1932,12789,0.15137032564422703
BENIGN,844,0.5,0.811833381652832,82935,205,1920,12789,0.15124751826759728
BENIGN,844,0.7,0.8341889381408691,82937,205,1918,12789,0.1512270503714923
BENIGN,844,0.9,0.8009247779846191,82937,205,1918,12789,0.1512270503714923
BENIGN,918,0.1,0.7417941093444824,82517,193,1208,13920,0.15552530855353378
