filter, sd, nu, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.6608486175537109,329,17,35,10,0.15424164524421594
BENIGN,0,0.3,0.6682219505310059,332,17,32,10,0.14652956298200515
BENIGN,0,0.5,0.703749418258667,332,17,32,10,0.14652956298200515
BENIGN,0,0.7,0.7222447395324707,332,17,32,10,0.14652956298200515
BENIGN,0,0.9,0.7164590358734131,332,17,32,10,0.14652956298200515
BENIGN,42,0.1,0.6435341835021973,369,0,10,10,0.05141388174807198
BENIGN,42,0.3,0.6626584529876709,369,0,10,10,0.05141388174807198
BENIGN,42,0.5,0.6848955154418945,369,0,10,10,0.05141388174807198
BENIGN,42,0.7,0.708367109298706,369,0,10,10,0.05141388174807198
BENIGN,42,0.9,0.7105615139007568,369,0,10,10,0.05141388174807198
BENIGN,123,0.1,0.6476614475250244,357,16,4,12,0.08226221079691516
BENIGN,123,0.3,0.6691803932189941,357,16,4,12,0.08226221079691516
BENIGN,123,0.5,0.6973776817321777,357,16,4,12,0.08226221079691516
BENIGN,123,0.7,0.7166671752929688,357,16,4,12,0.08226221079691516
BENIGN,123,0.9,0.7120122909545898,357,16,4,12,0.08226221079691516
BENIGN,222,0.1,0.6492104530334473,354,16,7,13,0.08997429305912596
BENIGN,222,0.3,0.6787056922912598,354,16,7,13,0.08997429305912596
BENIGN,222,0.5,0.7037289142608643,354,16,7,13,0.08997429305912596
BENIGN,222,0.7,0.7138164043426514,354,16,7,13,0.08997429305912596
BENIGN,222,0.9,0.7021102905273438,354,16,7,13,0.08997429305912596
BENIGN,419,0.1,0.6436305046081543,356,16,2,16,0.08483290488431877
BENIGN,419,0.3,0.667447566986084,356,16,2,16,0.08483290488431877
BENIGN,419,0.5,0.6968698501586914,356,16,2,16,0.08483290488431877
BENIGN,419,0.7,0.7192857265472412,356,16,2,16,0.08483290488431877
BENIGN,419,0.9,0.711169958114624,356,16,2,16,0.08483290488431877
BENIGN,844,0.1,0.6501312255859375,356,16,7,10,0.08483290488431877
BENIGN,844,0.3,0.6728663444519043,357,16,6,10,0.08226221079691516
BENIGN,844,0.5,0.693753719329834,357,16,6,10,0.08226221079691516
BENIGN,844,0.7,0.7174313068389893,357,16,6,10,0.08226221079691516
BENIGN,844,0.9,0.7057909965515137,357,16,6,10,0.08226221079691516
BENIGN,918,0.1,0.6475811004638672,358,17,1,13,0.07969151670951156
BENIGN,918,0.3,0.6796019077301025,358,17,1,13,0.07969151670951156
BENIGN,918,0.5,0.6883049011230469,358,17,1,13,0.07969151670951156
BENIGN,918,0.7,0.7065427303314209,358,17,1,13,0.07969151670951156
BENIGN,918,0.9,0.713468074798584,358,17,1,13,0.07969151670951156
BENIGN,1344,0.1,0.6493139266967773,339,15,15,27,0.12853470437017994
BENIGN,1344,0.3,0.6706907749176025,339,15,15,27,0.12853470437017994
BENIGN,1344,0.5,0.6961781978607178,339,15,15,27,0.12853470437017994
BENIGN,1344,0.7,0.711068868637085,339,15,15,27,0.12853470437017994
BENIGN,1344,0.9,0.7067759037017822,339,15,15,27,0.12853470437017994
BENIGN,65536,0.1,0.6449944972991943,342,17,27,14,0.12082262210796915
BENIGN,65536,0.3,0.6700241565704346,340,17,29,14,0.12596401028277635
BENIGN,65536,0.5,0.6900355815887451,340,17,29,14,0.12596401028277635
BENIGN,65536,0.7,0.7116119861602783,340,17,29,14,0.12596401028277635
BENIGN,65536,0.9,0.6962246894836426,340,17,29,14,0.12596401028277635
BENIGN,815149,0.1,0.6603636741638184,352,15,4,19,0.09511568123393316
BENIGN,815149,0.3,0.6658368110656738,352,15,4,19,0.09511568123393316
BENIGN,815149,0.5,0.6911420822143555,352,15,4,19,0.09511568123393316
BENIGN,815149,0.7,0.7142846584320068,352,15,4,19,0.09511568123393316
BENIGN,815149,0.9,0.7178146839141846,352,15,4,19,0.09511568123393316
Syn,0,0.1,0.7733464241027832,1010222,886,365291,4430,0.2679630293873617
Syn,0,0.3,0.7978413105010986,1013549,886,361964,4430,0.26555218602696345
Syn,0,0.5,0.82712721824646,1014327,886,361186,4430,0.26498842403886913
Syn,0,0.7,0.8381040096282959,1014629,886,360884,4430,0.2647695858378351
Syn,0,0.9,0.8418228626251221,1014794,886,360719,4430,0.2646500219200516
Syn,42,0.1,0.7649478912353516,1165997,4,211115,2901,0.15508382155266429
Syn,42,0.3,0.7889828681945801,1162373,4,214739,2901,0.15770987996507285
Syn,42,0.5,0.8243842124938965,1162289,4,214823,2901,0.1577707488686717
Syn,42,0.7,0.8249213695526123,1162225,4,214887,2901,0.15781712517617563
Syn,42,0.9,0.8268089294433594,1162232,4,214880,2901,0.15781205276754237
Syn,123,0.1,0.7564730644226074,1231076,818,34696,111647,0.1079256384894367
Syn,123,0.3,0.7850542068481445,1231164,818,34608,111647,0.10786187106661885
Syn,123,0.5,0.8104815483093262,1231185,818,34587,111647,0.10784665384071912
Syn,123,0.7,0.8377323150634766,1231190,818,34582,111647,0.10784303069169537
Syn,123,0.9,0.8262660503387451,1231194,818,34578,111647,0.10784013217247639
Syn,222,0.1,0.764718770980835,1303678,162,53855,22482,0.05531606540508618
Syn,222,0.3,0.7879526615142822,1304006,162,53527,22482,0.05507838682912867
Syn,222,0.5,0.81500244140625,1304266,162,53267,22482,0.05488998307989406
Syn,222,0.7,0.8266127109527588,1304293,162,53240,22482,0.05487041807516585
Syn,222,0.9,0.8155007362365723,1304318,162,53215,22482,0.054852302330047134
Syn,419,0.1,0.7619733810424805,1138010,42,202141,39863,0.17536403589816052
Syn,419,0.3,0.7850039005279541,1148566,42,191585,39863,0.16771484367923536
Syn,419,0.5,0.8133342266082764,1148597,42,191554,39863,0.16769238015528817
Syn,419,0.7,0.8252377510070801,1148606,42,191545,39863,0.16768585848704542
Syn,419,0.9,0.8221189975738525,1148613,42,191538,39863,0.1676807860784122
Syn,844,0.1,0.7686834335327148,1151796,4,221317,6900,0.1653742894098977
Syn,844,0.3,0.7807097434997559,1152838,4,220275,6900,0.16461922515334979
Syn,844,0.5,0.805070161819458,1153215,4,219898,6900,0.1643460397169596
Syn,844,0.7,0.8185572624206543,1153494,4,219619,6900,0.16414386800143477
Syn,844,0.9,0.8152792453765869,1153540,4,219573,6900,0.16411053503041634
Syn,918,0.1,0.7633390426635742,932962,658,332540,114130,0.3239479281022308
Syn,918,0.3,0.7876589298248291,933449,658,332053,114130,0.32359503338731826
Syn,918,0.5,0.8108689785003662,933555,658,331947,114130,0.32351822262801494
Syn,918,0.7,0.8262643814086914,933616,658,331886,114130,0.3234740202099253
Syn,918,0.9,0.8361358642578125,933659,658,331843,114130,0.32344286112832105
Syn,1344,0.1,0.7479457855224609,1236242,280,53604,90169,0.10418220091810597
Syn,1344,0.3,0.7754075527191162,1236203,280,53643,90169,0.10421046148049115
Syn,1344,0.5,0.8017148971557617,1236199,280,53647,90169,0.10421335999971015
Syn,1344,0.7,0.8122737407684326,1236197,280,53649,90169,0.10421480925931964
Syn,1344,0.9,0.8119447231292725,1236195,280,53651,90169,0.10421625851892914
Syn,65536,0.1,0.7642590999603271,1151691,75,225108,3145,0.16545037553939632
Syn,65536,0.3,0.7897112369537354,1151202,75,225597,3145,0.1658047195139183
Syn,65536,0.5,0.8111083507537842,1150963,75,225836,3145,0.1659779060372532
Syn,65536,0.7,0.8212299346923828,1150763,75,226036,3145,0.1661228319982029
Syn,65536,0.9,0.8203372955322266,1150691,75,226108,3145,0.1661750053441448
Syn,815149,0.1,0.7554600238800049,1180018,2,184619,15378,0.14492378706028558
Syn,815149,0.3,0.7660353183746338,1180062,2,184575,15378,0.14489190334887664
Syn,815149,0.5,0.7923061847686768,1180060,2,184577,15378,0.14489335260848615
Syn,815149,0.7,0.8118259906768799,1180056,2,184581,15378,0.14489625112770513
Syn,815149,0.9,0.8130426406860352,1180054,2,184583,15378,0.14489770038731464
