filter, sd, nu, gamma, n_components, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.1,10,0.9819943904876709,358,17,6,10,0.07969151670951156
BENIGN,0,0.5,0.1,10,1.1039321422576904,358,17,6,10,0.07969151670951156
BENIGN,0,0.7,0.1,10,1.1452436447143555,358,17,5,10,0.07969151670951156
BENIGN,0,0.1,0.5,10,0.9704136848449707,358,17,8,10,0.07969151670951156
BENIGN,0,0.5,0.5,10,1.065178394317627,358,17,5,10,0.07969151670951156
BENIGN,0,0.7,0.5,10,1.0667498111724854,358,17,5,10,0.07969151670951156
BENIGN,0,0.1,0.9,10,0.9979510307312012,358,17,7,10,0.07969151670951156
BENIGN,0,0.5,0.9,10,1.1293110847473145,358,17,5,10,0.07969151670951156
BENIGN,0,0.7,0.9,10,1.0709607601165771,358,17,5,10,0.07969151670951156
BENIGN,0,0.1,0.1,50,3.397427797317505,358,17,6,10,0.07969151670951156
BENIGN,0,0.5,0.1,50,3.3413164615631104,358,17,6,10,0.07969151670951156
BENIGN,0,0.7,0.1,50,3.678961753845215,358,17,5,10,0.07969151670951156
BENIGN,0,0.1,0.5,50,3.34220814704895,358,17,9,10,0.07969151670951156
BENIGN,0,0.5,0.5,50,3.5176877975463867,358,17,5,10,0.07969151670951156
BENIGN,0,0.7,0.5,50,3.486577272415161,358,17,5,10,0.07969151670951156
BENIGN,0,0.1,0.9,50,3.3893232345581055,358,17,8,10,0.07969151670951156
BENIGN,0,0.5,0.9,50,3.4199013710021973,358,17,5,10,0.07969151670951156
BENIGN,0,0.7,0.9,50,3.4558348655700684,358,17,5,10,0.07969151670951156
BENIGN,0,0.1,0.1,100,4.224457025527954,358,17,6,10,0.07969151670951156
BENIGN,0,0.5,0.1,100,4.392318487167358,358,17,6,10,0.07969151670951156
BENIGN,0,0.7,0.1,100,4.662801504135132,358,17,5,10,0.07969151670951156
BENIGN,0,0.1,0.5,100,4.20193076133728,358,17,9,10,0.07969151670951156
BENIGN,0,0.5,0.5,100,4.253827810287476,358,17,5,10,0.07969151670951156
BENIGN,0,0.7,0.5,100,4.562590837478638,358,17,5,10,0.07969151670951156
BENIGN,0,0.1,0.9,100,4.256646394729614,358,17,8,10,0.07969151670951156
BENIGN,0,0.5,0.9,100,4.382119417190552,358,17,5,10,0.07969151670951156
BENIGN,0,0.7,0.9,100,4.481260061264038,358,17,5,10,0.07969151670951156
BENIGN,0,0.1,0.1,150,6.244654178619385,358,17,6,10,0.07969151670951156
BENIGN,0,0.5,0.1,150,6.710846185684204,358,17,6,10,0.07969151670951156
BENIGN,0,0.7,0.1,150,7.159839153289795,358,17,5,10,0.07969151670951156
BENIGN,0,0.1,0.5,150,6.265206336975098,358,17,9,10,0.07969151670951156
BENIGN,0,0.5,0.5,150,6.774568557739258,358,17,5,10,0.07969151670951156
BENIGN,0,0.7,0.5,150,6.668947219848633,358,17,5,10,0.07969151670951156
BENIGN,0,0.1,0.9,150,6.171919822692871,358,17,8,10,0.07969151670951156
BENIGN,0,0.5,0.9,150,6.673136234283447,358,17,5,10,0.07969151670951156
BENIGN,0,0.7,0.9,150,6.799871921539307,358,17,5,10,0.07969151670951156
BENIGN,0,0.1,0.1,200,7.398038864135742,358,17,6,10,0.07969151670951156
BENIGN,0,0.5,0.1,200,7.852146625518799,358,17,6,10,0.07969151670951156
BENIGN,0,0.7,0.1,200,8.307622909545898,358,17,5,10,0.07969151670951156
BENIGN,0,0.1,0.5,200,7.40356969833374,358,17,9,10,0.07969151670951156
BENIGN,0,0.5,0.5,200,7.836668252944946,358,17,5,10,0.07969151670951156
BENIGN,0,0.7,0.5,200,7.891924142837524,358,17,5,10,0.07969151670951156
BENIGN,0,0.1,0.9,200,7.384426116943359,358,17,8,10,0.07969151670951156
BENIGN,0,0.5,0.9,200,7.809770822525024,358,17,5,10,0.07969151670951156
BENIGN,0,0.7,0.9,200,8.056946516036987,358,17,5,10,0.07969151670951156
BENIGN,42,0.1,0.1,10,0.9333105087280273,370,0,8,11,0.04884318766066838
BENIGN,42,0.5,0.1,10,0.9966325759887695,371,0,7,11,0.04627249357326478
BENIGN,42,0.7,0.1,10,1.0991137027740479,370,0,8,11,0.04884318766066838
BENIGN,42,0.1,0.5,10,0.907181978225708,369,0,9,11,0.05141388174807198
BENIGN,42,0.5,0.5,10,1.026672124862671,370,0,8,11,0.04884318766066838
BENIGN,42,0.7,0.5,10,0.9995532035827637,370,0,8,11,0.04884318766066838
BENIGN,42,0.1,0.9,10,0.9454772472381592,371,0,7,11,0.04627249357326478
BENIGN,42,0.5,0.9,10,1.0048205852508545,370,0,8,11,0.04884318766066838
BENIGN,42,0.7,0.9,10,0.9806339740753174,370,0,8,11,0.04884318766066838
BENIGN,42,0.1,0.1,50,2.85974383354187,370,0,8,11,0.04884318766066838
BENIGN,42,0.5,0.1,50,2.7751142978668213,371,0,7,11,0.04627249357326478
BENIGN,42,0.7,0.1,50,3.095085859298706,370,0,8,11,0.04884318766066838
BENIGN,42,0.1,0.5,50,2.759809732437134,369,0,9,11,0.05141388174807198
BENIGN,42,0.5,0.5,50,2.9298040866851807,370,0,8,11,0.04884318766066838
BENIGN,42,0.7,0.5,50,2.8778328895568848,370,0,8,11,0.04884318766066838
BENIGN,42,0.1,0.9,50,2.6847586631774902,371,0,7,11,0.04627249357326478
BENIGN,42,0.5,0.9,50,2.925945997238159,370,0,8,11,0.04884318766066838
BENIGN,42,0.7,0.9,50,2.9376564025878906,370,0,8,11,0.04884318766066838
BENIGN,42,0.1,0.1,100,3.601378917694092,370,0,8,11,0.04884318766066838
BENIGN,42,0.5,0.1,100,3.8387844562530518,371,0,7,11,0.04627249357326478
BENIGN,42,0.7,0.1,100,3.9799814224243164,370,0,8,11,0.04884318766066838
BENIGN,42,0.1,0.5,100,3.499835968017578,369,0,9,11,0.05141388174807198
BENIGN,42,0.5,0.5,100,3.776649236679077,370,0,8,11,0.04884318766066838
BENIGN,42,0.7,0.5,100,3.955409288406372,370,0,8,11,0.04884318766066838
BENIGN,42,0.1,0.9,100,3.55590558052063,371,0,7,11,0.04627249357326478
