filter, sd, nu, gamma, n_components, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.1,10,0.6502318382263184,1930,12,228,1222,0.4289940828402367
BENIGN,0,0.5,0.1,10,0.7823593616485596,1934,12,224,1222,0.427810650887574
BENIGN,0,0.7,0.1,10,0.7772679328918457,1934,12,224,1222,0.427810650887574
BENIGN,0,0.1,0.5,10,0.648200511932373,1928,12,230,1222,0.42958579881656805
BENIGN,0,0.5,0.5,10,0.7195780277252197,1934,12,224,1222,0.427810650887574
BENIGN,0,0.7,0.5,10,0.7860698699951172,1934,12,224,1222,0.427810650887574
BENIGN,0,0.1,0.9,10,0.6401371955871582,1930,12,228,1222,0.4289940828402367
BENIGN,0,0.5,0.9,10,0.6902837753295898,1933,12,225,1222,0.42810650887573964
BENIGN,0,0.7,0.9,10,0.7732458114624023,1933,12,225,1222,0.42810650887573964
BENIGN,0,0.1,0.1,50,1.2711181640625,1930,12,228,1222,0.4289940828402367
BENIGN,0,0.5,0.1,50,1.4599168300628662,1934,12,224,1222,0.427810650887574
BENIGN,0,0.7,0.1,50,1.4949150085449219,1934,12,224,1222,0.427810650887574
BENIGN,0,0.1,0.5,50,1.2796969413757324,1928,12,230,1222,0.42958579881656805
BENIGN,0,0.5,0.5,50,1.3964457511901855,1934,12,224,1222,0.427810650887574
BENIGN,0,0.7,0.5,50,1.4843816757202148,1934,12,224,1222,0.427810650887574
BENIGN,0,0.1,0.9,50,1.2695512771606445,1930,12,228,1222,0.4289940828402367
BENIGN,0,0.5,0.9,50,1.3480548858642578,1933,12,225,1222,0.42810650887573964
BENIGN,0,0.7,0.9,50,1.491328239440918,1933,12,225,1222,0.42810650887573964
BENIGN,0,0.1,0.1,100,2.0642213821411133,1930,12,228,1222,0.4289940828402367
BENIGN,0,0.5,0.1,100,2.3135287761688232,1934,12,224,1222,0.427810650887574
BENIGN,0,0.7,0.1,100,2.3709681034088135,1934,12,224,1222,0.427810650887574
BENIGN,0,0.1,0.5,100,2.058393955230713,1928,12,230,1222,0.42958579881656805
BENIGN,0,0.5,0.5,100,2.2221667766571045,1934,12,224,1222,0.427810650887574
BENIGN,0,0.7,0.5,100,2.3705341815948486,1934,12,224,1222,0.427810650887574
BENIGN,0,0.1,0.9,100,2.0741689205169678,1930,12,228,1222,0.4289940828402367
BENIGN,0,0.5,0.9,100,2.179063081741333,1933,12,225,1222,0.42810650887573964
BENIGN,0,0.7,0.9,100,2.3600451946258545,1933,12,225,1222,0.42810650887573964
BENIGN,0,0.1,0.1,150,2.979310989379883,1930,12,228,1222,0.4289940828402367
