filter, sd, nu, gamma, n_components, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.1,10,0.5956981182098389,987,25,83,532,0.3838951310861423
BENIGN,0,0.5,0.1,10,0.7182326316833496,986,25,84,532,0.38451935081148564
BENIGN,0,0.7,0.1,10,0.7276954650878906,989,25,81,532,0.38264669163545567
BENIGN,0,0.1,0.5,10,0.6051661968231201,987,25,83,532,0.3838951310861423
BENIGN,0,0.5,0.5,10,0.6741631031036377,988,25,82,532,0.383270911360799
BENIGN,0,0.7,0.5,10,0.7298808097839355,989,25,81,532,0.38264669163545567
BENIGN,0,0.1,0.9,10,0.5977284908294678,987,25,83,532,0.3838951310861423
BENIGN,0,0.5,0.9,10,0.6579232215881348,989,25,81,532,0.38264669163545567
BENIGN,0,0.7,0.9,10,0.7269937992095947,989,25,81,532,0.38264669163545567
BENIGN,0,0.1,0.1,50,1.183220624923706,987,25,83,532,0.3838951310861423
BENIGN,0,0.5,0.1,50,1.3674380779266357,986,25,84,532,0.38451935081148564
BENIGN,0,0.7,0.1,50,1.4078166484832764,989,25,81,532,0.38264669163545567
BENIGN,0,0.1,0.5,50,1.1768968105316162,987,25,83,532,0.3838951310861423
BENIGN,0,0.5,0.5,50,1.2936429977416992,988,25,82,532,0.383270911360799
BENIGN,0,0.7,0.5,50,1.41190505027771,989,25,81,532,0.38264669163545567
BENIGN,0,0.1,0.9,50,1.1773903369903564,987,25,83,532,0.3838951310861423
BENIGN,0,0.5,0.9,50,1.2620303630828857,989,25,81,532,0.38264669163545567
BENIGN,0,0.7,0.9,50,1.411383867263794,989,25,81,532,0.38264669163545567
BENIGN,0,0.1,0.1,100,1.8122727870941162,987,25,83,532,0.3838951310861423
BENIGN,0,0.5,0.1,100,2.0629916191101074,986,25,84,532,0.38451935081148564
BENIGN,0,0.7,0.1,100,2.1446738243103027,989,25,81,532,0.38264669163545567
BENIGN,0,0.1,0.5,100,1.8036165237426758,987,25,83,532,0.3838951310861423
BENIGN,0,0.5,0.5,100,1.986405372619629,988,25,82,532,0.383270911360799
BENIGN,0,0.7,0.5,100,2.1796422004699707,989,25,81,532,0.38264669163545567
BENIGN,0,0.1,0.9,100,1.8079736232757568,987,25,83,532,0.3838951310861423
BENIGN,0,0.5,0.9,100,1.9440748691558838,989,25,81,532,0.38264669163545567
BENIGN,0,0.7,0.9,100,2.1273739337921143,989,25,81,532,0.38264669163545567
BENIGN,0,0.1,0.1,150,2.578137159347534,987,25,83,532,0.3838951310861423
BENIGN,0,0.5,0.1,150,2.999504327774048,986,25,84,532,0.38451935081148564
BENIGN,0,0.7,0.1,150,3.1117382049560547,989,25,81,532,0.38264669163545567
BENIGN,0,0.1,0.5,150,2.581791400909424,987,25,83,532,0.3838951310861423
BENIGN,0,0.5,0.5,150,2.838611125946045,988,25,82,532,0.383270911360799
BENIGN,0,0.7,0.5,150,3.094264507293701,989,25,81,532,0.38264669163545567
BENIGN,0,0.1,0.9,150,2.5719170570373535,987,25,83,532,0.3838951310861423
BENIGN,0,0.5,0.9,150,2.773629903793335,989,25,81,532,0.38264669163545567
