filter, sd, nu, gamma, n_components, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.1,10,0.5967683792114258,886,6,95,521,0.41011984021304926
BENIGN,0,0.5,0.1,10,0.7155139446258545,889,6,92,521,0.4081225033288948
BENIGN,0,0.7,0.1,10,0.7111001014709473,890,6,91,521,0.40745672436750996
BENIGN,0,0.1,0.5,10,0.5935015678405762,886,6,95,521,0.41011984021304926
BENIGN,0,0.5,0.5,10,0.6705503463745117,890,6,91,521,0.40745672436750996
BENIGN,0,0.7,0.5,10,0.720574140548706,890,6,91,521,0.40745672436750996
BENIGN,0,0.1,0.9,10,0.5875835418701172,887,6,94,521,0.40945406125166445
BENIGN,0,0.5,0.9,10,0.6420409679412842,890,6,91,521,0.40745672436750996
BENIGN,0,0.7,0.9,10,0.71878981590271,890,6,91,521,0.40745672436750996
BENIGN,0,0.1,0.1,50,1.0994462966918945,886,6,95,521,0.41011984021304926
BENIGN,0,0.5,0.1,50,1.2653710842132568,889,6,92,521,0.4081225033288948
BENIGN,0,0.7,0.1,50,1.297760009765625,890,6,91,521,0.40745672436750996
BENIGN,0,0.1,0.5,50,1.0931339263916016,886,6,95,521,0.41011984021304926
BENIGN,0,0.5,0.5,50,1.2026989459991455,890,6,91,521,0.40745672436750996
BENIGN,0,0.7,0.5,50,1.3026278018951416,890,6,91,521,0.40745672436750996
BENIGN,0,0.1,0.9,50,1.0883738994598389,887,6,94,521,0.40945406125166445
BENIGN,0,0.5,0.9,50,1.1692938804626465,890,6,91,521,0.40745672436750996
BENIGN,0,0.7,0.9,50,1.2956924438476562,890,6,91,521,0.40745672436750996
BENIGN,0,0.1,0.1,100,1.8655271530151367,886,6,95,521,0.41011984021304926
BENIGN,0,0.5,0.1,100,2.2698731422424316,889,6,92,521,0.4081225033288948
BENIGN,0,0.7,0.1,100,2.286454916000366,890,6,91,521,0.40745672436750996
BENIGN,0,0.1,0.5,100,1.8694307804107666,886,6,95,521,0.41011984021304926
BENIGN,0,0.5,0.5,100,2.0838253498077393,890,6,91,521,0.40745672436750996
BENIGN,0,0.7,0.5,100,2.375213861465454,890,6,91,521,0.40745672436750996
BENIGN,0,0.1,0.9,100,1.8655624389648438,887,6,94,521,0.40945406125166445
BENIGN,0,0.5,0.9,100,2.1015024185180664,890,6,91,521,0.40745672436750996
BENIGN,0,0.7,0.9,100,2.286454200744629,890,6,91,521,0.40745672436750996
BENIGN,0,0.1,0.1,150,2.5085747241973877,886,6,95,521,0.41011984021304926
BENIGN,0,0.5,0.1,150,2.8689992427825928,889,6,92,521,0.4081225033288948
BENIGN,0,0.7,0.1,150,2.976824998855591,890,6,91,521,0.40745672436750996
BENIGN,0,0.1,0.5,150,2.5055782794952393,886,6,95,521,0.41011984021304926
