filter, sd, nu, gamma, n_components, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.1,10,0.6305911540985107,487,3,53,222,0.36089238845144356
BENIGN,0,0.5,0.1,10,0.7512121200561523,489,3,51,222,0.35826771653543305
BENIGN,0,0.7,0.1,10,0.759227991104126,489,3,51,222,0.35826771653543305
BENIGN,0,0.1,0.5,10,0.6337885856628418,488,3,52,222,0.35958005249343833
BENIGN,0,0.5,0.5,10,0.6981608867645264,489,3,51,222,0.35826771653543305
BENIGN,0,0.7,0.5,10,0.7745590209960938,489,3,51,222,0.35826771653543305
BENIGN,0,0.1,0.9,10,0.6185939311981201,488,3,52,222,0.35958005249343833
BENIGN,0,0.5,0.9,10,0.6717174053192139,489,3,51,222,0.35826771653543305
BENIGN,0,0.7,0.9,10,0.7504348754882812,489,3,51,222,0.35826771653543305
BENIGN,0,0.1,0.1,50,1.1101641654968262,487,3,53,222,0.36089238845144356
BENIGN,0,0.5,0.1,50,1.2844698429107666,489,3,51,222,0.35826771653543305
BENIGN,0,0.7,0.1,50,1.327397108078003,489,3,51,222,0.35826771653543305
BENIGN,0,0.1,0.5,50,1.105461597442627,488,3,52,222,0.35958005249343833
BENIGN,0,0.5,0.5,50,1.2101082801818848,489,3,51,222,0.35826771653543305
BENIGN,0,0.7,0.5,50,1.3122034072875977,489,3,51,222,0.35826771653543305
BENIGN,0,0.1,0.9,50,1.1148099899291992,488,3,52,222,0.35958005249343833
BENIGN,0,0.5,0.9,50,1.179443597793579,489,3,51,222,0.35826771653543305
BENIGN,0,0.7,0.9,50,1.3074655532836914,489,3,51,222,0.35826771653543305
BENIGN,0,0.1,0.1,100,1.7641990184783936,487,3,53,222,0.36089238845144356
BENIGN,0,0.5,0.1,100,2.0038466453552246,489,3,51,222,0.35826771653543305
BENIGN,0,0.7,0.1,100,2.0566930770874023,489,3,51,222,0.35826771653543305
BENIGN,0,0.1,0.5,100,1.755028247833252,488,3,52,222,0.35958005249343833
BENIGN,0,0.5,0.5,100,1.897716999053955,489,3,51,222,0.35826771653543305
BENIGN,0,0.7,0.5,100,2.0502305030822754,489,3,51,222,0.35826771653543305
BENIGN,0,0.1,0.9,100,1.7789406776428223,488,3,52,222,0.35958005249343833
BENIGN,0,0.5,0.9,100,1.8649897575378418,489,3,51,222,0.35826771653543305
