filter, sd, nu, gamma, n_components, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.1,10,0.6568031311035156,49257,26,546,1679,0.04347910517321734
BENIGN,0,0.5,0.1,10,0.7833974361419678,49235,26,568,1679,0.043906322821189996
BENIGN,0,0.7,0.1,10,0.7834458351135254,49280,26,523,1679,0.04303246854124592
BENIGN,0,0.1,0.5,10,0.6521615982055664,49243,26,560,1679,0.04375097094919994
BENIGN,0,0.5,0.5,10,0.7472162246704102,49251,26,552,1679,0.04359561907720988
BENIGN,0,0.7,0.5,10,0.7836353778839111,49304,26,499,1679,0.04256641292527575
BENIGN,0,0.1,0.9,10,0.6533470153808594,49238,26,565,1679,0.04384806586919372
BENIGN,0,0.5,0.9,10,0.7052402496337891,49257,26,546,1679,0.04347910517321734
BENIGN,0,0.7,0.9,10,0.7821314334869385,49297,26,506,1679,0.04270234581326705
BENIGN,0,0.1,0.1,50,1.2981376647949219,49256,26,547,1679,0.04349852415721609
BENIGN,0,0.5,0.1,50,1.4916462898254395,49235,26,568,1679,0.043906322821189996
BENIGN,0,0.7,0.1,50,1.5175352096557617,49277,26,526,1679,0.043090725493242193
BENIGN,0,0.1,0.5,50,1.3007700443267822,49243,26,560,1679,0.04375097094919994
BENIGN,0,0.5,0.5,50,1.4120442867279053,49251,26,552,1679,0.04359561907720988
BENIGN,0,0.7,0.5,50,1.5271265506744385,49304,26,499,1679,0.04256641292527575
BENIGN,0,0.1,0.9,50,1.3028008937835693,49238,26,565,1679,0.04384806586919372
BENIGN,0,0.5,0.9,50,1.3878717422485352,49257,26,546,1679,0.04347910517321734
BENIGN,0,0.7,0.9,50,1.5162353515625,49297,26,506,1679,0.04270234581326705
BENIGN,0,0.1,0.1,100,2.1170108318328857,49256,26,547,1679,0.04349852415721609
BENIGN,0,0.5,0.1,100,2.3550567626953125,49236,26,567,1679,0.04388690383719124
BENIGN,0,0.7,0.1,100,2.4296796321868896,49279,26,524,1679,0.04305188752524468
BENIGN,0,0.1,0.5,100,2.1194000244140625,49243,26,560,1679,0.04375097094919994
BENIGN,0,0.5,0.5,100,2.2791531085968018,49251,26,552,1679,0.04359561907720988
BENIGN,0,0.7,0.5,100,2.431032419204712,49304,26,499,1679,0.04256641292527575
BENIGN,0,0.1,0.9,100,2.1279830932617188,49238,26,565,1679,0.04384806586919372
BENIGN,0,0.5,0.9,100,2.2338125705718994,49257,26,546,1679,0.04347910517321734
BENIGN,0,0.7,0.9,100,2.4220147132873535,49297,26,506,1679,0.04270234581326705
BENIGN,0,0.1,0.1,150,2.9717702865600586,49256,26,547,1679,0.04349852415721609
BENIGN,0,0.5,0.1,150,3.3432252407073975,49235,26,568,1679,0.043906322821189996
BENIGN,0,0.7,0.1,150,3.436580181121826,49282,26,521,1679,0.042993630573248405
BENIGN,0,0.1,0.5,150,2.98111891746521,49243,26,560,1679,0.04375097094919994
BENIGN,0,0.5,0.5,150,3.298699140548706,49251,26,552,1679,0.04359561907720988
BENIGN,0,0.7,0.5,150,3.4610633850097656,49304,26,499,1679,0.04256641292527575
BENIGN,0,0.1,0.9,150,2.979792833328247,49238,26,565,1679,0.04384806586919372
BENIGN,0,0.5,0.9,150,3.176812171936035,49257,26,546,1679,0.04347910517321734
BENIGN,0,0.7,0.9,150,3.467747211456299,49297,26,506,1679,0.04270234581326705
BENIGN,0,0.1,0.1,200,3.832418918609619,49256,26,547,1679,0.04349852415721609
BENIGN,0,0.5,0.1,200,4.237898349761963,49235,26,568,1679,0.043906322821189996
BENIGN,0,0.7,0.1,200,4.4470531940460205,49280,26,523,1679,0.04303246854124592
BENIGN,0,0.1,0.5,200,3.7993030548095703,49243,26,560,1679,0.04375097094919994
BENIGN,0,0.5,0.5,200,4.140822172164917,49251,26,552,1679,0.04359561907720988
BENIGN,0,0.7,0.5,200,4.393413066864014,49304,26,499,1679,0.04256641292527575
BENIGN,0,0.1,0.9,200,3.8454065322875977,49238,26,565,1679,0.04384806586919372
BENIGN,0,0.5,0.9,200,4.0430967807769775,49257,26,546,1679,0.04347910517321734
BENIGN,0,0.7,0.9,200,4.403650283813477,49297,26,506,1679,0.04270234581326705
BENIGN,42,0.1,0.1,10,0.6237246990203857,49402,27,1161,917,0.040663352493397545
BENIGN,42,0.5,0.1,10,0.764054536819458,49473,27,1088,917,0.039284604629485784
BENIGN,42,0.7,0.1,10,0.7605247497558594,49491,27,1070,917,0.03893506291750816
BENIGN,42,0.1,0.5,10,0.629723310470581,48795,27,1766,917,0.052450675780643156
BENIGN,42,0.5,0.5,10,0.6814889907836914,49475,27,1086,917,0.03924576666148827
BENIGN,42,0.7,0.5,10,0.7580924034118652,49482,27,1079,917,0.03910983377349697
BENIGN,42,0.1,0.9,10,0.6333084106445312,49036,27,1525,917,0.04777070063694268
BENIGN,42,0.5,0.9,10,0.6891031265258789,49477,27,1084,917,0.03920692869349076
BENIGN,42,0.7,0.9,10,0.6794536113739014,49488,27,1073,917,0.038993319869504425
