filter, sd, nu, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.41377854347229004,1892,12,265,1221,0.44023668639053254
BENIGN,0,0.3,0.4219198226928711,1892,12,265,1221,0.44023668639053254
BENIGN,0,0.5,0.45323610305786133,1892,12,265,1221,0.44023668639053254
BENIGN,0,0.7,0.45435166358947754,1892,12,265,1221,0.44023668639053254
BENIGN,0,0.9,0.4637577533721924,1892,12,265,1221,0.44023668639053254
BENIGN,42,0.1,0.41193270683288574,1307,5,1226,847,0.6133136094674556
BENIGN,42,0.3,0.4199788570404053,1307,5,1226,847,0.6133136094674556
BENIGN,42,0.5,0.4559645652770996,1307,5,1226,847,0.6133136094674556
BENIGN,42,0.7,0.46448826789855957,1307,5,1226,847,0.6133136094674556
BENIGN,42,0.9,0.4596400260925293,1307,5,1226,847,0.6133136094674556
BENIGN,123,0.1,0.4205904006958008,1299,9,976,1105,0.6156804733727811
BENIGN,123,0.3,0.44556307792663574,1299,9,976,1105,0.6156804733727811
BENIGN,123,0.5,0.46039462089538574,1299,9,976,1105,0.6156804733727811
BENIGN,123,0.7,0.46198415756225586,1299,9,976,1105,0.6156804733727811
BENIGN,123,0.9,0.4681975841522217,1298,9,977,1105,0.6159763313609468
BENIGN,222,0.1,0.42394042015075684,1915,9,628,837,0.4334319526627219
BENIGN,222,0.3,0.42717719078063965,1917,9,626,837,0.43284023668639054
BENIGN,222,0.5,0.4586660861968994,1917,9,626,837,0.43284023668639054
BENIGN,222,0.7,0.46469783782958984,1917,9,626,837,0.43284023668639054
BENIGN,222,0.9,0.4693751335144043,1917,9,626,837,0.43284023668639054
BENIGN,419,0.1,0.4098949432373047,2109,0,443,828,0.3760355029585799
BENIGN,419,0.3,0.4315483570098877,2109,0,443,828,0.3760355029585799
BENIGN,419,0.5,0.45134782791137695,2109,0,443,828,0.3760355029585799
BENIGN,419,0.7,0.45488452911376953,2109,0,443,828,0.3760355029585799
BENIGN,419,0.9,0.4780910015106201,2109,0,443,828,0.3760355029585799
BENIGN,844,0.1,0.40956830978393555,1862,2,597,921,0.44911242603550294
BENIGN,844,0.3,0.4307596683502197,1862,2,597,921,0.44911242603550294
BENIGN,844,0.5,0.45415663719177246,1862,2,597,921,0.44911242603550294
BENIGN,844,0.7,0.45305967330932617,1862,2,597,921,0.44911242603550294
BENIGN,844,0.9,0.4591186046600342,1862,2,597,921,0.44911242603550294
BENIGN,918,0.1,0.43196535110473633,1957,26,397,1026,0.4210059171597633
BENIGN,918,0.3,0.43108201026916504,1957,26,397,1026,0.4210059171597633
BENIGN,918,0.5,0.4702000617980957,1957,26,397,1026,0.4210059171597633
BENIGN,918,0.7,0.46418333053588867,1957,26,397,1026,0.4210059171597633
BENIGN,918,0.9,0.47801947593688965,1957,26,397,1026,0.4210059171597633
BENIGN,1344,0.1,0.41992855072021484,1010,5,1468,902,0.7011834319526628
BENIGN,1344,0.3,0.43573760986328125,1008,5,1470,902,0.7017751479289941
BENIGN,1344,0.5,0.453016996383667,1008,5,1470,902,0.7017751479289941
BENIGN,1344,0.7,0.4662044048309326,1008,5,1470,902,0.7017751479289941
BENIGN,1344,0.9,0.467144250869751,1008,5,1470,902,0.7017751479289941
BENIGN,65536,0.1,0.43020200729370117,1416,4,961,1003,0.5810650887573965
BENIGN,65536,0.3,0.43311262130737305,1400,4,977,1003,0.5857988165680473
BENIGN,65536,0.5,0.4576451778411865,1401,4,976,1003,0.5855029585798817
BENIGN,65536,0.7,0.4726557731628418,1401,4,976,1003,0.5855029585798817
BENIGN,65536,0.9,0.47134900093078613,1401,4,976,1003,0.5855029585798817
BENIGN,815149,0.1,0.4267404079437256,1222,6,1197,961,0.6384615384615384
BENIGN,815149,0.3,0.42981982231140137,1222,6,1197,961,0.6384615384615384
BENIGN,815149,0.5,0.4491591453552246,1223,6,1196,961,0.6381656804733727
BENIGN,815149,0.7,0.47409915924072266,1224,6,1195,961,0.6378698224852071
BENIGN,815149,0.9,0.4752078056335449,1224,6,1195,961,0.6378698224852071
DrDoS_DNS,0,0.1,0.6426680088043213,11407,390548,441356,4618238,0.9977505431865339
DrDoS_DNS,0,0.3,0.6782870292663574,11408,390548,441355,4618238,0.9977503459868483
DrDoS_DNS,0,0.5,0.6810176372528076,11408,390548,441355,4618238,0.9977503459868483
DrDoS_DNS,0,0.7,0.6925668716430664,11410,390548,441353,4618238,0.9977499515874771
DrDoS_DNS,0,0.9,0.7008066177368164,11411,390548,441352,4618238,0.9977497543877916
DrDoS_DNS,42,0.1,0.5952646732330322,46601,65,112625,4911775,0.9908102974520617
DrDoS_DNS,42,0.3,0.6007635593414307,46625,65,112601,4911775,0.9908055646596077
DrDoS_DNS,42,0.5,0.6256687641143799,46626,65,112600,4911775,0.9908053674599221
DrDoS_DNS,42,0.7,0.6407842636108398,46628,65,112598,4911775,0.9908049730605509
DrDoS_DNS,42,0.9,0.6373534202575684,46627,65,112599,4911775,0.9908051702602365
DrDoS_DNS,123,0.1,0.6387650966644287,532043,53,139888,4399070,0.8950812876823949
DrDoS_DNS,123,0.3,0.6573152542114258,532086,53,139845,4399070,0.8950728080959147
DrDoS_DNS,123,0.5,0.6671931743621826,532073,53,139858,4399070,0.8950753716918274
DrDoS_DNS,123,0.7,0.6858270168304443,532071,53,139860,4399070,0.8950757660911985
DrDoS_DNS,123,0.9,0.6971478462219238,532064,53,139867,4399070,0.8950771464889976
DrDoS_DNS,222,0.1,0.6061015129089355,12494,23,694,5057806,0.9975361871283033
DrDoS_DNS,222,0.3,0.6327242851257324,12480,23,708,5057806,0.9975389479239014
DrDoS_DNS,222,0.5,0.6490964889526367,12475,23,713,5057806,0.9975399339223293
DrDoS_DNS,222,0.7,0.6617815494537354,12452,23,736,5057806,0.9975444695150978
DrDoS_DNS,222,0.9,0.6585488319396973,12449,23,739,5057806,0.9975450611141545
DrDoS_DNS,419,0.1,0.6092548370361328,10873,126,392,5059730,0.9978558478186362
DrDoS_DNS,419,0.3,0.6292130947113037,10873,126,393,5059730,0.9978558478186362
DrDoS_DNS,419,0.5,0.6281423568725586,10873,126,393,5059730,0.9978558478186362
DrDoS_DNS,419,0.7,0.6637954711914062,10873,126,393,5059730,0.9978558478186362
DrDoS_DNS,419,0.9,0.6456317901611328,10873,126,393,5059730,0.9978558478186362
DrDoS_DNS,844,0.1,0.6356918811798096,118878,7,735127,4216996,0.9765572957770476
DrDoS_DNS,844,0.3,0.6499030590057373,119422,7,734582,4216996,0.9764500191480895
DrDoS_DNS,844,0.5,0.6718699932098389,119244,7,734760,4216996,0.9764851206921236
DrDoS_DNS,844,0.7,0.6790792942047119,119202,7,734802,4216996,0.9764934030789181
DrDoS_DNS,844,0.9,0.6977360248565674,119062,7,734942,4216996,0.9765210110349
DrDoS_DNS,918,0.1,0.6579725742340088,68099,634055,20816,4361169,0.9865708986113593
DrDoS_DNS,918,0.3,0.6880292892456055,68099,634055,105147,4361169,0.9865708986113593
DrDoS_DNS,918,0.5,0.6936182975769043,68100,634055,181132,4361169,0.9865707014116737
DrDoS_DNS,918,0.7,0.7131609916687012,68100,634055,204481,4361169,0.9865707014116737
DrDoS_DNS,918,0.9,0.7087781429290771,68100,634055,207105,4361169,0.9865707014116737
DrDoS_DNS,1344,0.1,0.6815066337585449,32132,23180,610539,4428323,0.9936635797027885
DrDoS_DNS,1344,0.3,0.6843442916870117,32128,23180,610541,4428323,0.9936643685015308
DrDoS_DNS,1344,0.5,0.7033290863037109,32125,23180,610544,4428323,0.9936649601005876
DrDoS_DNS,1344,0.7,0.718996524810791,32126,23180,610543,4428323,0.993664762900902
DrDoS_DNS,1344,0.9,0.7115583419799805,32126,23180,610543,4428323,0.993664762900902
DrDoS_DNS,65536,0.1,0.808250904083252,67607,20578,3756926,1233022,0.986667920856667
DrDoS_DNS,65536,0.3,0.7993090152740479,67322,20578,3755154,1233022,0.9867241227670587
DrDoS_DNS,65536,0.5,0.8203015327453613,67306,20578,3754901,1233022,0.986727277962028
DrDoS_DNS,65536,0.7,0.834836483001709,67272,20578,3754915,1233022,0.986733982751338
DrDoS_DNS,65536,0.9,0.8518686294555664,67271,20578,3754882,1233022,0.9867341799510235
DrDoS_DNS,815149,0.1,0.615168571472168,499,44,11705,5058797,0.9999015973568932
DrDoS_DNS,815149,0.3,0.6389272212982178,499,44,11705,5058797,0.9999015973568932
DrDoS_DNS,815149,0.5,0.6437346935272217,499,44,11705,5058797,0.9999015973568932
DrDoS_DNS,815149,0.7,0.662952184677124,499,44,11705,5058797,0.9999015973568932
DrDoS_DNS,815149,0.9,0.6714892387390137,499,44,11705,5058797,0.9999015973568932
