filter, sd, nu, time, undect, dect(m), dect(u), sse_dect, dect_R
BENIGN,0,0.1,0.429279088973999,49110,26,694,1677,0.046333695821034644
BENIGN,0,0.3,0.44538164138793945,49111,26,693,1677,0.046314276837035886
BENIGN,0,0.5,0.46402573585510254,49111,26,693,1677,0.046314276837035886
BENIGN,0,0.7,0.47716498374938965,49111,26,693,1677,0.046314276837035886
BENIGN,0,0.9,0.49802279472351074,49111,26,693,1677,0.046314276837035886
BENIGN,42,0.1,0.43514037132263184,49454,27,1103,915,0.03965356532546217
BENIGN,42,0.3,0.43303513526916504,49454,27,1103,915,0.03965356532546217
BENIGN,42,0.5,0.4615168571472168,49454,27,1103,915,0.03965356532546217
BENIGN,42,0.7,0.4630410671234131,49454,27,1103,915,0.03965356532546217
BENIGN,42,0.9,0.4751875400543213,49454,27,1103,915,0.03965356532546217
BENIGN,123,0.1,0.44420576095581055,49417,611,1091,952,0.040372067733416186
BENIGN,123,0.3,0.45676398277282715,49420,611,1088,952,0.04031381078141991
BENIGN,123,0.5,0.48151564598083496,49420,611,1086,952,0.04031381078141991
BENIGN,123,0.7,0.49170589447021484,49420,611,1085,952,0.04031381078141991
BENIGN,123,0.9,0.49579286575317383,49420,611,1084,952,0.04031381078141991
BENIGN,222,0.1,0.45054006576538086,49201,647,1137,1127,0.044566568277147736
BENIGN,222,0.3,0.46166348457336426,49202,647,1140,1127,0.044547149293148985
BENIGN,222,0.5,0.4811115264892578,49202,647,1141,1127,0.044547149293148985
BENIGN,222,0.7,0.4906187057495117,49202,647,1142,1127,0.044547149293148985
BENIGN,222,0.9,0.5011603832244873,49202,647,1141,1127,0.044547149293148985
BENIGN,419,0.1,0.45475196838378906,49217,610,998,1192,0.04425586453316763
BENIGN,419,0.3,0.47527647018432617,49218,610,1012,1192,0.04423644554916887
BENIGN,419,0.5,0.48758816719055176,49218,610,1015,1192,0.04423644554916887
BENIGN,419,0.7,0.4955146312713623,49218,610,1015,1192,0.04423644554916887
BENIGN,419,0.9,0.5039923191070557,49218,610,1014,1192,0.04423644554916887
BENIGN,844,0.1,0.44158053398132324,49339,184,1090,1021,0.04188674848531925
BENIGN,844,0.3,0.46456027030944824,49339,184,1090,1021,0.04188674848531925
BENIGN,844,0.5,0.48217177391052246,49339,184,1090,1021,0.04188674848531925
BENIGN,844,0.7,0.5092499256134033,49339,184,1090,1021,0.04188674848531925
BENIGN,844,0.9,0.4986257553100586,49339,184,1090,1021,0.04188674848531925
BENIGN,918,0.1,0.45997166633605957,48867,618,1420,1177,0.05105250893273264
BENIGN,918,0.3,0.4591968059539795,48867,618,1420,1177,0.05105250893273264
BENIGN,918,0.5,0.4831082820892334,48867,618,1420,1177,0.05105250893273264
BENIGN,918,0.7,0.4948751926422119,48867,618,1420,1177,0.05105250893273264
BENIGN,918,0.9,0.5116376876831055,48867,618,1420,1177,0.05105250893273264
BENIGN,1344,0.1,0.43626856803894043,49049,562,1337,1095,0.04751825384495883
BENIGN,1344,0.3,0.45661497116088867,49049,562,1337,1095,0.04751825384495883
BENIGN,1344,0.5,0.47742295265197754,49049,562,1337,1095,0.04751825384495883
BENIGN,1344,0.7,0.49590158462524414,49049,562,1337,1095,0.04751825384495883
BENIGN,1344,0.9,0.48990774154663086,49049,562,1337,1095,0.04751825384495883
BENIGN,65536,0.1,0.44869565963745117,49225,135,1121,1096,0.044100512661177566
BENIGN,65536,0.3,0.4587669372558594,49223,135,1123,1096,0.04413935062917508
BENIGN,65536,0.5,0.48732852935791016,49223,135,1123,1096,0.04413935062917508
BENIGN,65536,0.7,0.48740482330322266,49223,135,1123,1096,0.04413935062917508
BENIGN,65536,0.9,0.5098822116851807,49223,135,1123,1096,0.04413935062917508
BENIGN,815149,0.1,0.44049906730651855,49080,575,1314,1084,0.04691626534099736
BENIGN,815149,0.3,0.4553055763244629,49094,575,1300,1084,0.04664439956501476
BENIGN,815149,0.5,0.4765617847442627,49101,575,1293,1084,0.046508466677023456
BENIGN,815149,0.7,0.49167847633361816,49101,575,1293,1084,0.046508466677023456
BENIGN,815149,0.9,0.4896879196166992,49104,575,1290,1084,0.04645020972502718
DDoS,0,0.1,0.4566650390625,21,33764,82632,392,0.9997792819305473
DDoS,0,0.3,0.46300387382507324,21,33764,82151,392,0.9997792819305473
DDoS,0,0.5,0.48513293266296387,21,33764,81695,392,0.9997792819305473
DDoS,0,0.7,0.500586986541748,21,33764,81431,392,0.9997792819305473
DDoS,0,0.9,0.5017049312591553,21,33764,81268,392,0.9997792819305473
DDoS,42,0.1,0.451845645904541,21,56176,62243,27236,0.9997792819305473
DDoS,42,0.3,0.4682459831237793,21,56176,62062,27236,0.9997792819305473
DDoS,42,0.5,0.4720911979675293,21,56176,61946,27236,0.9997792819305473
DDoS,42,0.7,0.48981523513793945,21,56176,61854,27236,0.9997792819305473
DDoS,42,0.9,0.4985084533691406,21,56176,61794,27236,0.9997792819305473
DDoS,123,0.1,0.44441938400268555,0,94629,73411,153,1.0
DDoS,123,0.3,0.46108293533325195,0,94629,73926,153,1.0
DDoS,123,0.5,0.4878575801849365,0,94629,73811,153,1.0
DDoS,123,0.7,0.49077939987182617,0,94629,73538,153,1.0
DDoS,123,0.9,0.4944460391998291,0,94629,73429,153,1.0
DDoS,222,0.1,0.4434781074523926,0,94294,94230,812,1.0
DDoS,222,0.3,0.46576571464538574,0,94294,94182,812,1.0
DDoS,222,0.5,0.48942065238952637,0,94294,94165,812,1.0
DDoS,222,0.7,0.4860086441040039,0,94294,94155,812,1.0
DDoS,222,0.9,0.5001997947692871,0,94294,94153,812,1.0
DDoS,419,0.1,0.4459972381591797,9,1227,1048,93905,0.9999054065416632
DDoS,419,0.3,0.4620625972747803,9,1227,1050,93905,0.9999054065416632
DDoS,419,0.5,0.4773519039154053,9,1227,1050,93905,0.9999054065416632
DDoS,419,0.7,0.513739824295044,9,1227,1050,93905,0.9999054065416632
DDoS,419,0.9,0.5026190280914307,9,1227,1050,93905,0.9999054065416632
DDoS,844,0.1,0.4486713409423828,0,32839,57297,34641,1.0
DDoS,844,0.3,0.45856428146362305,0,32839,54444,34641,1.0
DDoS,844,0.5,0.48251771926879883,0,32839,55094,34641,1.0
DDoS,844,0.7,0.49587154388427734,0,32839,55364,34641,1.0
DDoS,844,0.9,0.5097954273223877,0,32839,55499,34641,1.0
DDoS,918,0.1,0.45266294479370117,0,93847,52884,1297,1.0
DDoS,918,0.3,0.4585764408111572,0,93847,53533,1297,1.0
DDoS,918,0.5,0.4839212894439697,0,93847,53509,1297,1.0
DDoS,918,0.7,0.4901390075683594,0,93847,53585,1297,1.0
